@English@|@Jingpho@
@be ashamed@|@gäja'@
@be aslant@|@däkjeng, gjeng, khje, khje, khjeng, khjeng, khjéng, kjeng, n-gjeng, nkhjeng@
@be awake@|@su@
@be aware of@|@na@
@be bent@|@gu', kängat, ko, ku, lägo', mägo', thingkun, thingkun@
@be bent forward@|@n-gum@
@be bitten as by sand flies@|@kram@
@be boiled and thus soft@|@pjo'@
@be bright@|@brim@
@be broad@|@ang, äwong@
@be broken@|@do'@
@be broken up@|@ce@
@be burned@|@prong@
@be central@|@wunpong@
@be choked@|@dang@
@be clean@|@ceng, seng@
@be complete@|@khum, ting@
@be concave@|@guãk, kho', khwak@
@be concupiscent@|@rang@
@be continuous@|@ra@
@be contracted@|@zhom@
@be cool@|@ci, cin, gäcin@
@be cramped@|@dut@
@be crowded out@|@äkrot, krot@
@be crumpled@|@gäju'@
@be cut@|@phrut@
@be dark@|@lämo, ma, mu'@
@be deaf@|@läphang@
@be decayed@|@cam, chäcam@
@be defeated@|@sum@
@be destroyed@|@bjak, phjet@
@be distinct@|@krang@
@be doublet@|@gup@
@be dried up@|@ka@
@be dry@|@kang, khrop@
@be dry and brittle@|@gätha'@
@be drying@|@khun@
@be dusk@|@rim@
@be early@|@zhau@
@be empty@|@kjet, som@
@be ended@|@kjet, thum@
@be energetic@|@cet, jet@
@be entire@|@kup, lum@
@be exhausted@|@ma', sang@
@be exposed@|@gäten@
@be fat@|@saú@
@be filled to overflowing@|@lom@
@be filled to the top@|@dem@
@be finished@|@kre'@
@be firm@|@dakring, kring, ngang, ting@
@be flat and wide@|@bjen@
@be foolish@|@ngok@
@be foot-sore@|@läci@
@be forked@|@bra'@
@be frozen@|@ägji@
@be full@|@phring@
@be glazing@|@le@
@be good@|@khrak, khru@
@be green@|@hning, hring@
@be grey@|@mut@
@be ground@|@gumrin, rin@
@be grown and halfripe@|@äro@
@be hanging@|@cun, läcun, mäcun, näcun@
@be hard@|@zha'@
@be hooked@|@khai@
@be hot@|@käthet, zhap@
@be ill@|@mäci'@
@be in a circle@|@wan@
@be in pairs@|@run, zum@
@be lazy@|@lägon@
@be left@|@ta@
@be left unmarried@|@gram@
@be long@|@gälu-gälang@
@be long and narrow@|@dingloi, loi@
@be loose@|@gäran, ginran, käran@
@be lost@|@mje, šämat@
@be lucky@|@thik@
@be mad@|@mäna@
@be mature@|@grang@
@be mended@|@pa@
@be mixed@|@jau@
@be narrow@|@gjeng, gjéng, gjip@
@be near@|@thep@
@be old@|@dingla@
@be on fire@|@chi'@
@be perplexed@|@ung, ung-ang@
@be pierced through@|@khren@
@be placed@|@ra@
@be planning mischief@|@zhon@
@be pleasant@|@ngon@
@be pleased@|@pjo, pro@
@be plentiful@|@po@
@be pointed@|@jon@
@be poor@|@grom@
@be possessed@|@got@
@be projecting@|@leng@
@be puckered@|@chong, um@
@be quick@|@läram, reng@
@be rank@|@cang@
@be reborn@|@git@
@be reduced@|@sip@
@be ripe@|@mjin@
@be rough@|@zep@
@be round@|@lum@
@be rugged@|@mäzut@
@be saltish@|@šum@
@be scarce@|@ke, kje@
@be scattered@|@bra@
@be shaggy@|@je@
@be sharp to the touch@|@gra, mägra@
@be shining@|@tu@
@be short@|@gädun, ntu, tu@
@be single@|@tai@
@be slippery@|@bjoi@
@be slow@|@länan, länin@
@be small@|@ji, tak, tek@
@be smoky@|@khu@
@be soaked@|@äpap, äpap, pap, prim@
@be soft@|@mäni, nu@
@be sound of mind@|@gring@
@be spotted@|@nteng@
@be stale@|@cu@
@be straight@|@mälang@
@be stroked@|@sop@
@be stubby@|@bu, wun-bu@
@be swift@|@läreng@
@be swinging@|@goi@
@be talkative@|@lem, nlem@
@be terrified@|@phra@
@be thin@|@re, rë, roi', te-re@
@be thirsty@|@kära@
@be tired@|@acu, ba, cu, zhín@
@be torn@|@šep@
@be troubled@|@cang@
@be trrified@|@käphra@
@be true@|@teng@
@be turned@|@lap@
@be unclean@|@wu'@
@be unrolled and spread out@|@jan@
@be useless@|@be, bje@
@be very lean@|@gram@
@be well@|@kham@
@be well filled@|@pu@
@be wet@|@mädi@
@be wide@|@äwung-wang, wung-wang@
@be wide open@|@sumkha@
@be widely separated@|@äphra@
@be willing@|@kam@
@be worth@|@dan@
@be wound@|@khjen@
@beans@|@no'-kju@
@bear@|@cap, khám@
@beat@|@dup@
@beautifully@|@moi@
@become convalescent@|@bran@
@become dark@|@sin@
@become friends@|@khu'@
@become violent@|@rung@
@behind@|@phang@
@behold@|@mù@
@belly@|@kan, pu@
@belonging to@|@änak@
@below@|@käwu@
@bent@|@dägum@
@bile@|@šägri@
@billion@|@rì@
@billow@|@leng@
@bin@|@sang@
@bind@|@gjit@
@bird of the falcon family@|@kälang@
@bison@|@pho@
@biting to the taste@|@mäsa'@
@bitter@|@kha@
@black@|@chang, mächang@
@black mould@|@git-na@
@blood@|@sai@
@blossoms@|@nmoi@
@blow@|@mut@
@blow with mouth@|@gäwut@
@boat@|@li@
@body@|@gumgu@
@bone@|@nrang, nrut@
@borrow@|@khoi@
@bow@|@dan, ngu, ngu', ngu', nguk@
@braid@|@mäkhri@
@brain@|@nu'@
@brass@|@mägri@
@brawl@|@gäthok-gäthak@
@breadth@|@nda'@
@breast@|@öm@
@breeze@|@bung-li@
@bright@|@leng@
@bring close together@|@zhäthep@
@broken@|@käphrut@
@broken piece@|@do@
@brother-in-law@|@gäkhau@
@brown@|@däling@
@buffalo@|@nga-loi, uloi@
@bull kept for breeding@|@uli@
@bulrushes@|@ägoi@
@bumpy@|@äkron@
@burn@|@wut@
@burst@|@ga'@
@butterfly@|@pälam-la'@
@calf of the leg@|@läbop@
@calm@|@num@
@can@|@lu-na@
@cane@|@rim@
@capable@|@nu@
@capture@|@rim@
@carcass@|@mang@
@carry a child on the back@|@bà'@
@carry in the arms@|@pon@
@carry on the shoulder@|@phai@
@casting net@|@sum-gon@
@castrate@|@dong@
@cataneous disease@|@ning@
@central fireplace@|@rap@
@chaff@|@mäkho@
@chair@|@läkhum@
@chant@|@mäkhon@
@charcoal@|@nra'@
@chastise@|@den@
@cheek@|@bam-bam@
@child@|@mà@
@chin@|@nkha@
@chirp@|@chap@
@chop@|@phja'@
@circle@|@wang@
@clamour@|@gäro@
@claw@|@tin@
@clay@|@kägam@
@clitoris@|@zhin-di, zhin-ti@
@close@|@käpat@
@close as against a support@|@gäthep@
@close the fist@|@läcup@
@cloth worn during menstruation@|@äni, bäni, ni@
@cloud@|@sä mui@
@cloudy@|@mu', mung@
@coagulated@|@kan@
@cockroach@|@šälip@
@coconut@|@mäun@
@coil@|@kun@
@cold@|@äsi, gäci, käšung, ningšung, nšung@
@collect@|@that@
@colour@|@zho@
@colouring@|@mak@
@comb@|@päsi@
@come@|@pru@
@common house-lizard@|@dingsing@
@companion@|@mänang@
@completed@|@boi@
@completely@|@kop@
@compose and sing@|@bju@
@conceal@|@mäkoi@
@concur@|@khro@
@consider@|@non@
@contain@|@rong@
@continuous@|@äjan@
@cooking place dug@|@läwot@
@copulate@|@nä'@
@cotton cloth@|@pan@
@cover@|@grup, jip@
@cow@|@dumsu, su@
@crab@|@chäkhan@
@crafty@|@khet@
@crest@|@dung-kung@
@crimson@|@khjeng@
@cross-bow@|@ndan@
@cucumber@|@gjin, n-gjin@
@cudgel@|@khon@
@curved@|@khau, khong-khong@
@custom@|@älai, lai@
@cut@|@kätham@
@cut and clear@|@gru@
@cut off@|@gat@
@cut with a backward stroke@|@märat, numrat@
@dare@|@wam@
@darkness@|@nsin@
@daughter of a chief@|@änang@
@day@|@šani@
@day after tomorrow@|@phra@
@declare@|@nga@
@deep@|@nak@
@defilement@|@äwu'@
@dense@|@äpa'@
@depend upon@|@pha@
@destroy@|@si-mit@
@diffidence@|@gam@
@dig out@|@krau@
@dirt@|@äbut-äno', äno, khägrui@
@disagreeable odor@|@äkhang@
@disagreeing@|@zhan@
@dive@|@phung-lip@
@dividing line between 2 paddy@|@ärit@
@divine@|@chäba', šäba'@
@divison@|@tan@
@dog@|@guì@
@door@|@chingkha, nkha@
@downy@|@nam@
@drugs@|@ci@
@drum@|@chaing@
@dry and fallen leaves@|@läphra@
@dry leaves@|@läphro-läpra@
@dull@|@ton@
@durable@|@khang@
@dust@|@nbun@
@dwarfish@|@ägjek, tot@
@dwelling-place@|@bu@
@earth@|@gä, git, git@
@easy@|@loi@
@eat@|@ša@
@egg@|@u-di, wu@
@egg-plant@|@šäba@
@eight@|@macat@
@elder brother@|@käphu@
@elephant@|@mägui, mänang@
@elevate@|@grau@
@eloquence@|@ntam@
@embroidery@|@mäka@
@encircle@|@phjin@
@enough@|@phroi@
@entice@|@ägo'@
@equally@|@mären@
@evacuate the intestines@|@n'e, n'i@
@evaporate@|@khjet@
@evening@|@na'@
@excrement@|@khji@
@exhibit@|@mädun@
@exist@|@pra@
@expensive@|@phu@
@experiment@|@cham@
@expire@|@si@
@expressive of love@|@mädu@
@extend@|@mäden@
@extended@|@gran, kong@
@extort@|@nap@
@eye@|@mji'@
@faded@|@nui@
@fall down from an elevation@|@khon@
@fall from an elevation@|@khrat@
@far@|@can@
@fat@|@sau@
@father@|@käwa@
@father-in-law@|@äca, ca, gü, käca@
@father's younger brother@|@doi@
@favour@|@kju@
@fear@|@khrit@
@feather@|@mun, u-mai@
@feed@|@rem@
@feel cramp in the legs@|@läkhring@
@feel heavy@|@nin@
@feel squeamish@|@on@
@feel stiff@|@kjin@
@feel stiff and aching@|@känin@
@female@|@šäwi@
@female affix@|@wi@
@fence@|@bungkhu@
@fermented rice@|@ca'@
@few@|@läma@
@field@|@na@
@figure@|@sumla@
@fill as a lake@|@ung@
@filter@|@zhen@
@filth@|@ägang@
@fingernail@|@lä mjin@
@fire@|@mji, wan@
@fish@|@nga@
@fishing by stupefying@|@märau@
@five@|@mänga@
@flea@|@wa'-khäli@
@flesh@|@šan@
@flesh on the back of the body@|@nkhjun@
@float with the stream@|@jo, jong@
@follow@|@nang@
@food@|@šädot@
@forcibly@|@azha@
@ford@|@rap@
@forehead@|@käthan, läthan, than@
@forever@|@käzhu, käzhut@
@fork@|@läga@
@form@|@khráng@
@four@|@mäli@
@fresh sprouts@|@mäkrung@
@friend@|@mäkhu@
@from an inflamed ear@|@läkjo@
@fruit@|@sì@
@fulfill@|@šänga@
@gallop@|@kägan, khan@
@garlic@|@phäro@
@gas@|@air@
@gather together@|@phon@
@gentle@|@ngwi@
@gently sloping@|@räwi, rui@
@gills@|@šinggjeng@
@girdle@|@kjit, mäkjit@
@glean@|@gut@
@glutinous rice@|@nbo@
@go down@|@ju'@
@goat@|@täkhjen@
@gonorrhoea@|@äri@
@good@|@ai, cha, cha, kä, mai@
@grandchild@|@käšu, šu@
@grate@|@bret, pret@
@grave@|@lup@
@great@|@gäba, ning-la, ning-ton, ting-zha@
@green@|@gäcing@
@greet@|@šäkram@
@growing less@|@jom@
@grumble@|@ngun@
@gums@|@wa-nin@
@habit@|@äron@
@hailstones@|@sin@
@hair@|@sam@
@hair of the head@|@sam-ban@
@hammer@|@mädup-sumdu@
@hand@|@läta', ta'@
@hardened@|@läga@
@have an inordinate appetite@|@kru@
@have rule and authority over@|@mädu'@
@haversack@|@thing-ba@
@he@|@ší@
@he is@|@rai ai@
@he was@|@rai sai@
@head@|@pung@
@hear@|@mä tat@
@heavy@|@li@
@heavy fog@|@ncam, ningcam@
@heavy with sleep@|@šämui@
@heddle bar of a Kachin loom@|@sänat, šingnat@
@here@|@nang@
@hit with the flat of the hand@|@bjing@
@hoard@|@känom@
@hold in the mouth@|@ma-um@
@home@|@nbu@
@honour@|@ärong@
@horse@|@gumra, kumrang@
@how many?@|@gäde, mäde@
@human being@|@märai, numrai@
@hump on cattle@|@däbu@
@hundred@|@läca@
@hundred thousand@|@sèn@
@hut@|@nta@
@hut in a paddy field@|@wa@
@I@|@ngai@
@I am@|@rai n ngai@
@I was@|@rai sa ngai@
@ice@|@khjen. gjen@
@illness@|@äna@
@impale@|@mäthan@
@imperative@|@-ru@
@in@|@u-@
@in unison@|@äkhrip@
@indication@|@äna@
@inquire@|@san@
@insect resembling the calandre@|@dumbung@
@inside@|@gäta@
@instruction@|@mung@
@itch@|@jam, machit@
@jump upward@|@gumzhot@
@jungle@|@nam@
@jungle lizard@|@käsang-son, nsang-son@
@kernel as of fruit@|@ätum, tum@
@kick forward@|@thong@
@kiss@|@pup@
@knee@|@läphùt@
@kneel@|@phutti'@
@knotty@|@grom, n-grom@
@labor@|@mu@
@lame@|@go-thon@
@large boiler@|@n-au@
@large kind of cricket@|@chälen@
@last night@|@mäna'@
@lay aside@|@khong@
@leaf@|@lap@
@leaf-lard@|@säman@
@leaven@|@mäci@
@leech@|@wot@
@left@|@pai@
@leg@|@lago, lägong@
@leg just above the ankles@|@lätho@
@leguminous plant@|@preng, šäpre@
