@bundle@|@kuk-rux, kunc@
@burden@|@azijat@
@burdock@|@p:arqul, penqw@
@burn@|@k-ük-ün-, k:u-z@
@burning@|@chux@
@bush@|@kul, kuluni, val, vala@
@bustard@|@quq@
@but@|@amma, anzhax@
@butter@|@chem, düd-ghwer, düd-ghwer, gheri@
@butterfly@|@chepeluqh@
@buttock@|@t'uk@
@button@|@dygme, kac@
@by heart@|@xuralaj@
@cabbage@|@kelem@
@cage@|@q'efes@
@calamity@|@bala@
@calf@|@ch'waerch', dana, k'wachin rufun@
@calf of leg@|@kerkem@
@camel@|@deve, lavar@
@candle@|@shen@
@candy@|@qenfet@
@cane@|@nac@
@car@|@mashin@
@caraway@|@if-er-ar@
@careful@|@muqajat@
@carpet@|@gam, gamuni, tams@
@carrot@|@gazar@
@cat@|@k:ac, k:aci-, kac, kacer, kaci@
@catapult@|@cap-an@
@cattle-shed@|@c:ur, c:ür, cur, curi@
@cause@|@sebeb@
@cave@|@qwet@
@ceiling@|@qav, qavu@
@ceiling beam@|@chul@
@cemetery@|@k'vanchin baxcha@
@center@|@makan@
@certain@|@tajin@
@certain of@|@inanmish@
@chaff@|@cekw, naRw@
@chain@|@cirgh@
@character@|@qilix@
@character trait@|@xeset@
@characteristic of@|@xas@
@cheap@|@uzhuz@
@cheek@|@p:arkw, ppark'w, qhveqh, qhyqve, qhyqver, qveq, qweq@
@cheerful@|@gumrah@
@cheese@|@nasu, nisi@
@cherry@|@p'ini@
@chicken@|@cic'ib, vechre, verch@
@chief@|@asul@
@child@|@ajal, bala, sivin, veled, weled@
@chin@|@chana, chenedin qhil@
@china clay@|@lacadi, laz@
@chunk@|@k'us, k'usuni, tike@
@cigarette@|@p'ap'rus@
@circumstance@|@ahvalat@
@city@|@sheher@
@class@|@sinif@
@claw@|@qarmax@
@clay@|@ch:eb, cheb, chepedi@
@clay for plastering walls@|@luj@
@clean@|@mixhi@
@clear@|@achux, ashkara@
@clever@|@zirek@
@clew@|@kwat@
@client@|@myshteri@
@cliff@|@qwal@
@clock@|@saet, saetdi@
@close friend@|@k'evi dust@
@cloth@|@parcha@
@clothes@|@partal@
