@English@|@Ket@
@earlier@|@lghaj@
@ear-ring@|@oqtän, oqtynäng@
@earth@|@ba'ng, bang, bangngung, bangngus@
@edge@|@dïtl, itil, itl@
@egg@|@e'j, ën@
@elbow@|@ábagit, ávagereng, ulgeräng, ulgit, ulgitäng@
@elk@|@qa:jä, qa:ji, qaj, qajä, qi:n@
@empty@|@qu:jä, qu:ji, quj, qujä@
@enough@|@bljang, qo@
@ermine@|@kulan, kulep@
@even@|@ëm, qádem, qárem ba'ng, qárems, u:l@
@evening@|@bïs@
@excrements@|@ho'q@
@expiration@|@i@
@eye@|@dës@
@face@|@bát, battaräng, battat, battatäng, bint, ho'l, hol@
@faded hair@|@hl'q@
@fanthom@|@qán@
@far@|@bi:l, bil, biläm@
@fat@|@höl, höle, holeng, ky'y@
@father@|@obang, öp@
@feather@|@a:s, a:si, as, aseng@
@female@|@hangen, hangg, hanggä, hangs@
@female puppy@|@ýjyngla@
@few@|@qomatäm@
@field@|@ogup@
@finger nail@|@i:nä, i:ni, in, inä, ïneng@
@fir branches@|@qónag, qoneng@
@fir tree@|@dÿn, dynn, hojaq, hojoks@
@fire@|@bo'k, bök@
@fire-brand@|@bogdet, bogdiräng, bogdit, bogditn, kügul, kügulän@
@fish@|@ti:gä, tig, tigin, tïgin@
@fish bladder@|@hl'l, hl:lä, hl:li, hll, hlläng@
@fish net@|@atpen, atpenang@
@fish scales@|@iesäng, ieseng, ïsa, isang, ïse, ïseng, jes:iès@
@fish spear@|@e:l, el, elin, eln@
@fish trap@|@bje@
@fisher net@|@hl'ng, hlngän@
@fishhook beard@|@lángä, lángen@
@fishing rod@|@du'p, du:n@
@fish-trap@|@bo'q, boqng@
@fist@|@ko:ghä, kogh, koghyn, kön, koq@
@five@|@qa:ng, qagän, qäk@
@flea@|@ql'n@
@flotsam@|@qo'q@
@flying squirrel@|@e:mä, em, ëmn@
@foam@|@qo:l@
@foot@|@ki's, kiseng@
@foot sole@|@kassat, kasseräng, kaswsädäng@
@fork@|@üs, useng@
@fork of legs@|@haläng, halen@
@fox@|@kbn, kèaghan, kl:n, klhgyn@
@fright@|@qoren, qoren@
@frog@|@l'l, ltn@
@from the river to the shore@|@lt, lta, ltej@
@full@|@üt@
@gall@|@gl:l, qólang, qolang. qllang, qölyng@
@get up!@|@tös, tösä, tösi@
@give@|@lga@
@glue@|@hi't@
@go away@|@ko:ng@
@god@|@ës, esa:ng, esang@
@good@|@aq-ta, aqtäm@
@goose@|@tëm, temin@
@gosling@|@tamgit@
@grandchild@|@qal, qaleq, qaloq, qalyn@
@grandfathers@|@qi:ba'ang@
@grass@|@da:n@
@grass for slip soles@|@tagdä, tàgde, tagdeng, tágdoks@
@grave@|@bángol, bangul, bangylang@
@green@|@kyalmas@
@grey@|@lrey@
@gudgeon@|@udäm, udämn, urem, ürem, uremn@
@guest@|@ltakaj@
@gul@|@qaläng, qalen@
@hail@|@balbedäng, balberäng, balbet, qogdäm, qogdäng@
@hair@|@tbngä@
@half@|@a'l, al, dala@
@hammer@|@hu:l, hüling@
@hand@|@hlngn, hlngnäng@
@handful@|@hllaq, hllaqng@
@handle@|@ül, üle, üleng@
@hard@|@bÿrs, bÿt, bÿts@
@hare@|@a:k, agyn, agyn, be's, besäm, besn@
@hare overcoat@|@besemn@
@harlot@|@be'l@
@harrier@|@hïg, hïgar, hikei-še, hikei-ši@
@hat@|@dy', dÿneng@
@hawthorn@|@hlltäng@
@he@|@bu, bü, büng@
@he eats@|@düf, düp@
@he is born@|@sigatonoqs, sïja-tonäx, sjëgetak@
@he touches me@|@tqáldit@
@head@|@kljga, ty'@
@healthy@|@o:ng, öng@
@heap@|@alangas, ales, alesn, dapqul, dapquläng@
@hear@|@éqtij@
@helminth@|@dops, dopsin, sopsi@
@hence@|@kini:l, kinil@
@here@|@kisa:ng, kiseng@
@herring@|@bongtu:n, bongtug@
@hind leg@|@ongtä@
@hip@|@ha'p, hä:ng, háp, kíledang@
@hoar frost@|@ulan@
@hole@|@ka'ng, kangen, kúdep, kúdep, kúrep, kúrep, qük, quksen@
@hoof@|@qoles@
@hook@|@qóksl, qoksul@
@horn@|@qo', qo'ng, qongen@
@horse@|@ku's@
@hot@|@a:ng@
@house@|@qu'ng, qu's@
@how@|@bila@
@how much@|@anun@
@hundred@|@alchin-tamši, alchin-tamšu, alt-tamši, aštamše@
@hundred (1)@|@ki', ki:sä, ki:sen, kis@
@hunger@|@qo:t@
@hunt@|@kl'j@
@hunting path@|@ka:ngä, kang, kängen@
@hunting spear@|@attas, attasn@
@husband@|@tatn, tët@
@I@|@át, di@
@I drank it@|@dobalop@
@I drink it@|@da-vop, dabdop@
@I eat@|@dïf, dïp, dïv@
@I pluck berries@|@dasngati@
@I shall go to bed@|@dtaditn@
@I shall hide@|@diditn@
@I shouted@|@desolej@
@I spent the day@|@indivit@
@I spent the night@|@bayinsál@
@ice@|@qö@
@ice hole@|@ulá, ullop, ulop@
@icicle@|@dághong, degho, deghong@
@idol@|@do's@
@in that direction@|@kl'@
@in the wood@|@al@
@index finger@|@bestaq@
@intestine(s)@|@hy:l, hÿl, hÿläng@
@intestines@|@hl:jä, hl:ji, hü, hu:, hu:n, hÿj@
@iron@|@ë, eg@
@is heard@|@bilät, biláta, bimbata, bimbe-te@
@island@|@ëj, ejän, ëje@
@jaw@|@higat@
@joints of reindeer@|@báting@
@jump@|@-dop, do:gh@
@ketling@|@oakum@
@kiddle@|@duptä, ildup@
@kidney@|@bajbul, bajbuläng@
@kite@|@qa:ngä, qang, qangä, qángen@
@klldij@|@to bend@
@knee@|@ba't, batpul, batpuläng@
