@English@|@Ket@
@twenty@|@e'k, eks, eksen@
@twins@|@l:sin, ynl:lsin@
@two@|@yn, ÿn, ynäm, ynäng@
@uncle@|@qöj, qojeng, qöjeng@
@uowards@|@tose@
@up@|@to'j, tosa@
@upon@|@l:t@
@upper clothes@|@qa't, qadeng, qareng@
@urine@|@dbs, dbstin@
@very@|@áleng@
@vessel made of birch bark@|@y:t, ýdäng, yggut, ýreng@
@vomit@|@klngej, ky'ng@
@war@|@ka:lä, ka:li, kal@
@warm@|@u:s, üs, üseng@
@warm of water@|@qükseng@
@water@|@ül, ulij@
@water spirit@|@ulgus@
@wave@|@ánbok, ánbokng@
@way@|@qo't, qÿnäng@
@we@|@bt, btn@
@weak@|@deltim@
@wedge@|@ën, enin, enn@
@weeping@|@qo't@
@wet@|@ultu, utas@
@what@|@aks@
@wheel@|@eltang, iltang, iltäp@
@when@|@aska@
@whence@|@bilil, binil@
@where@|@bisa:ng, bisang, biseng@
@which@|@ases, bilejam@
@whirlpool@|@ysl@
@whirlwind@|@ulbej, ulgeräng, ulgit, ulgitäng, ulvej@
@whistle@|@kutiléj, kutoléj@
@white moss@|@tádeng, tádyng, táreng@
@who@|@ana, anet, besa, bisse@
@whole@|@e, e:s@
@why@|@aj, aksej, aksejsang, an@
@wide@|@qïl@
@widow@|@blssem@
@widower@|@blssälgit@
@wild deer@|@assel, assen@
@wild onion@|@qo', qo:n@
@wild rose@|@qlmbälang, qlmylang@
@willow@|@dbligit, dlgit, dlit, dllit, dllo, dlloks@
@willow bark@|@dbneng, dl:nä, dl:ni, dln, dlnä@
@wind@|@bëj@
@wind from the river source@|@udbej@
@wing@|@ke'j, këng, kengän@
@winter@|@kbt, kbtä, kbti@
@without@|@-an@
@wolf@|@qltn, qÿt, qÿti@
@wolverine@|@ku:nä, ku:ne, kun, kunn, künn@
@woman@|@qïm@
@wonder@|@oipes@
@wood@|@hälis, hllenges, hlles, hlllangas, hóles@
@wood spirit@|@lytys, qajgus@
@woodcock@|@dekng, dït@
@woodcock wooing@|@dettej@
@wool@|@qádä, qár, qáre@
@word@|@qa', qa:n@
@worm@|@kïn, olänggäs, utig@
@writing@|@ïreng@
@yarn@|@ki'@
@yesterday@|@qodes, qores@
@you@|@bkng@
@young@|@kitej@
@younger sister of wife@|@hyam@
@your@|@k-, keng-, ku-, uk, ük@
@Yug@|@jug, jügen@

