@snowfall@|@kódung, kotara'a@
@soar@|@tau'a-@
@soft@|@namagä, námang@
@something elevated@|@mäarsi@
@something stamped@|@fûli@
@space below something@|@ngilea@
@spider@|@imižiaï@
@spit@|@ngaita@
@spring@|@noru@
@star@|@xotädie@
@stay@|@koae'-@
@stone@|@fala, fualla, xualä@
@street@|@bäntiä@
@summer@|@tanga, tängä@
@swan@|@dengkuïkia, dengkuïkïa@
@tail@|@batu'a@
@tail (not birds')@|@täjbu@
@take out@|@tadi-@
@tear@|@käle@
@testicle@|@mann@
@that@|@ngamang, sete, ta, taka', taka', tandang, tandang, tania, tania, tanne, tanne@
@the upper part@|@naitea, naiteng@
@thick back of arrow@|@munga@
@thief@|@tolar-@
@thing@|@maa, mê'a-@
@this@|@temenang@
@thou@|@tannang@
@thumb@|@feája, fjääka@
@tinder@|@fuu@
@to be afraid@|@filiti-@
@to be forgotten@|@ngana'bta-@
@to be sick@|@jamajua-@
@to become dark@|@faemei'@
@to become dry@|@koju'-, kosaju-, kósara'a-, kosua@
@to become wet@|@foda-, fotu-@
@to bind@|@kürüda, saru'a-@
@to blow@|@fuali'é-, fuarú-@
@to carry@|@kuanda'a-@
@to close eyes@|@káuläása@
@to comb@|@tïði'é-@
@to come@|@tü'a-@
@to come in@|@tïdi@
@to cough@|@ku', kutâdandu-@
@to die@|@kuu'a-@
@to extinguish@|@kabtu-, käptu-@
@to gnaw@|@lungkaju-, lungu'-@
@to go@|@mende-@
@to grow@|@tansa@
@to hang@|@ngidi'e-, ngüda@
@to hear@|@kou, kuau@
@to hit@|@fede'á-@
@to lead@|@badú-@
@to live@|@nile-@
@to paint@|@fadu'-@
@to pick up@|@jilisj@
@to pour out@|@bo'bta'a-@
@to put@|@fan-@
@to rot@|@tïmi'e-@
@to row@|@töpsa@
@to say@|@muno-@
@to scrape@|@nadu'-@
@to see@|@baräda, Barata-@
@to sit@|@ngomtu'a-, ngomtutu-@
@to sit down@|@tiaji, tii'em@
@to suck@|@nimiri-@
@to swallow@|@naltami'e-@
@to urinate@|@kunsä@
@to want@|@karbútu@
@tomorrow@|@küžiaxü@
@tongue@|@siäde@
@tooth@|@chimi@
@trace@|@ngoajä@
@tree@|@xuaa@
@truth@|@ngäži'tätïä@
@turned over@|@kamágu@
@two@|@siti@
@uncle@|@titida@
@under@|@ngileanu@
@vessel@|@silá'ka@
@vessel made of birch bark@|@kida, kita@
@wander@|@joturu-@
@water@|@bë, bedang, bï'@
@wave@|@kombu, kongfu@
@we@|@mêng, mî@
@weather@|@dialï@
@where@|@kunini, kuninu@
@Where is my room?@|@kunini n'ilytym@
@Where is the bar?@|@bar kunini@
@Where is the beach?@|@d'am kunini@
@who@|@kua, kunie, sele@
@window@|@siäžyr@
@wing@|@chuo, tu, tua@
@winter@|@sirü@
@wolf@|@ngüliažä@
@woman@|@hï, në@
@wood@|@mungku@
@wool@|@herbï@
@year@|@xüo@
@yellow@|@fata@
@you@|@têng@
@young@|@numää@

