@speech@|@ös@
@spirit@|@týn@
@split@|@sar-käk@
@spring@|@häs@
@squirrel@|@tïng@
@stable@|@bige@
@star@|@hulus@
@steep bank@|@hýr@
@stir up@|@bulkuj-@
@stone@|@täs@
@store-room@|@arangas@
@strong@|@tyng@
@strong wind@|@tyal@
@stump@|@töngürges@
@suffering@|@mung@
@summer@|@hajyn@
@sun@|@kün@
@swan@|@kuba@
@swear@|@üök-@
@swelling@|@is@
@swift@|@tehï@
@swim@|@karbä-, uhun-@
@that@|@ol@
@the essential part@|@üös@
@there is@|@bär@
@there is not@|@huok@
@thigh@|@büt@
@thin@|@hinniges@
@thirty@|@otut@
@this@|@bu, i-ti, mun-@
@thou@|@en@
@tie to@|@kat-@
@to annoy@|@kyjnga-@
@to ask@|@yjyt-@
@to bathe@|@hötüölë-, hütöl-@
@to be@|@e-, er-@
@to be lost@|@hüt-@
@to be satisfied@|@kan-@
@to be seen@|@köhün-@
@to bead@|@tis-@
@to become@|@buol-@
@to become old@|@kyryj-@
@to bend@|@iek-@
@to bind@|@bä-j-, hü-lä-@
@to bite@|@ystä-, ytyr-@
@to blow@|@ür-@
@to blow of a snowstorm@|@tip-@
@to boil@|@kyjnar-, kýjnar-@
@to bow@|@ököj-@
@to breathe@|@týn-@
@to bury@|@köm-@
@to come@|@kel-@
@to cover@|@hap-, kappaktä-@
@to cut@|@bys-@
@to dawn@|@hyrdä-@
@to die@|@öl-@
@to dig@|@kas-@
@to drag@|@hohun-@
@to draw near@|@hugahä-@
@to dream@|@tühë-, tül@
@to drink@|@is-@
@to drive away@|@ür-@
@to dry off@|@uol-@
@to eat@|@as-, hie-@
@to embrace@|@küs-@
@to end@|@büt-@
@to enter@|@kïr-@
@to fight@|@karys-@
@to find@|@bul-, taptar-@
@to fly@|@köt-@
@to forget@|@umun-@
@to frighten@|@ürg-üt-@
@to give@|@bier-@
@to go apart@|@targat-@
@to go away@|@ära-k-@
@to go by@|@äs-@
@to go through@|@tobul-@
@to grasp@|@tut-@
@to grow@|@ït-, ït-@
@to hang@|@tart-@
@to harness@|@kölüj-@
@to hear@|@ihilin-, ihit-@
@to hide@|@kistë-@
@to imitate@|@ütügün-@
@to jump@|@atyllä-, ekkirë-, oj-@
@to kill@|@kyj-, ölör-@
@to know@|@bil-@
@to lean@|@tajan-@
@to let@|@byrak-@
@to lick@|@halan-@
@to look out@|@byk-@
@to love@|@tap-tä-@
@to make@|@gyn-@
@to make holes@|@tes-@
@to melt@|@ir-@
@to migrate@|@kös-@
@to overpower@|@kot-@
@to pacify@|@buoj-@
@to patch@|@hamä-@
@to pick out@|@ong-@
@to play@|@önnö-@
@to pour out@|@tok-@
@to press@|@battä-@
@to prop@|@öjön-@
@to push@|@kep-@
@to put on@|@tang-@
@to rake@|@kürt-@
@to reach@|@hit-, tïj-@
@to read@|@äk-@
@to rejoice@|@itiriktë-, üör-@
@to remember@|@ahyn-@
@to revive@|@tillij-@
@to rize@|@mïn-@
@to roast meat@|@üöl-@
@to run away@|@kürë-@
@to say@|@die-, et-@
@to scratch with a hoof@|@tabyn-@
@to see@|@kör-@
@to sell@|@at-@
@to send@|@ýt-@
@to sew@|@tik-@
@to shamanize@|@algä-, kamnä-@
@to shame smb.@|@hätynnar-@
@to shear@|@kyryj-@
@to sit@|@olor-@
@to skin@|@kastä-@
@to sleep@|@hyt-, utuj-@
@to smear@|@bis-@
@to stand@|@tur-@
@to steal@|@uor-@
@to stick into@|@katä-@
@to swim@|@hü-j-@
@to take@|@yl-@
@to tear off@|@hül-@
@to turn round@|@tier-@
@to wait@|@küt-@
@to walk@|@bar-, hyryt-@
@to wipe out@|@hot-@
@tooth@|@tïs@
@top of head@|@töbö@
@touch@|@týt-@
@towards@|@dieri@
@tramp@|@tep-@
@tree@|@mas@
@truth@|@kirdik@
@tundra@|@tya@
@turn one's back towards smb.@|@arga-lä-@
@two@|@ikki@
@upper rib@|@ojogos@
@uproot@|@kongor-@
@urine@|@ïk@
@use@|@tuhan-@
@vein@|@tymyr@
@walk@|@käm-@
@warm@|@hyläs, ichiges, itï@
@water@|@ü@
@we@|@bihigi@
@which@|@kaja@
@while@|@sagyna@
@white@|@ürüng@
@who@|@kim@
@wide@|@kieng@
