@English@|@Kott@
@felt@|@hatal@
@female@|@feng, pheng@
@field@|@hïp-ëg, hïpëang, hïpëx@
@finger@|@thog, thogan, thogei, thogi, thok, thox@
@fir@|@tunu@
@fir tree@|@tin, tïnangan, tini, tïni, tïní@
@fire@|@hat, hatan, hati, het, xat@
@firewood@|@ak@
@fish@|@teg, tëg, tëgan, tëx, tyg, tyk@
@fish scales@|@ëchang, ëchi@
@fisher net@|@fukng, fung, pun@
@fishing rod@|@tupunang, tupung@
@fist@|@hangkan, hankanang@
@five@|@géjang, kega, kejche, khëga, qaga, xëga@
@flaying@|@thax@
@flea@|@imgara@
@flour@|@uxei, uxëi@
@flower@|@ešalyky-tan@
@foam@|@hapar, haparang, hapur@
@fog@|@tipar, tïpar@
@food@|@raj@
@foot@|@pul, pulang@
@foot sole@|@hachar, hacharang@
@footwear@|@gechan@
@forehead@|@pichal@
@forgetfulness@|@ënšekng, enuaiše, enunguiše@
@forging@|@afu@
@four@|@šagä, šega, šëgä, šegang, šeggiang, šejche@
@fox@|@agan, ägan, aganan, ägatn, šumarch-ögana@
@free@|@ipal, ïpal@
@fright@|@amalang@
@from a different side@|@fulit, phulit@
@from here@|@in-chang@
@fur from reindeer's legs@|@šatang, šët@
@ghost@|@ul-is, ulise, ulisi, ulisin@
@girdling@|@fatax@
@girl@|@alit-äli, daleä@
@go away@|@ijang@
@go give@|@hilen, hilipënang, hipënang@
@goat@|@eg@
@going in@|@hichak, huchax@
@good@|@hag-ši@
@goose@|@camii, šaman, šame, šáme@
@grand-daughter@|@alitpuga@
@grandson@|@puga@
@grass@|@keri, tönaful, tönapul, tönapulang@
@grave@|@ol, ölang@
@green@|@oreäk, ureäk@
@ground@|@šu@
@grouse@|@šu, šuá, šuan@
@guest@|@chang@
@guilty@|@aske, askei, askejing, aski, askijang. askö@
@hail@|@kójbaten, kojpat, kójpat@
@hair@|@ëk, ëkán, ëkng, hengai@
@half@|@halap, halapang, šúšig@
@hammer@|@ful, fülang, phul, phülang@
@hand@|@kë'är, këgar@
@hard@|@šagar@
@hardly@|@šakaryga@
@hare@|@pachan, peš@
@harrier@|@hïgar@
@hat@|@te, tei, tekng, ti, tï@
@haunch@|@anar, ánar@
@he@|@bari@
@he stands@|@jatýkendon@
@head@|@tagai, takai@
@healthy@|@apang@
@hearing@|@atpi@
@heavily@|@šïkng, šuoga@
@heel@|@-'ichan, šuga'ichi, šukaichi@
@here@|@ini@
@herself@|@minta@
@hewing@|@agat@
@hill@|@amar@
@himself@|@mintu@
@hip@|@pul-gatken@
@hoar-frost@|@theang, theäng, theängan@
@hole@|@huk, hünáng@
@hoof@|@halchig, halchikng, halchix, xalchik@
@hook@|@šúlán, šúlang, šúle, šúli@
@hoop@|@thápora, thápotn, thápura, thápuran, thápurán, tháputn@
@horn@|@hau, hau'i, hökng@
@hornet@|@pachem@
@horse@|@guš, huchan, huš, pen-kuš, penguš@
@hot@|@fal, palá, paltu, pfóltu, phal@
@hotness@|@pala@
@house@|@hush, xysh@
@how much@|@bilipei, bilipëi@
@hundred@|@alchin-tamši, alchin-tamšu, alt-tamši, aštamše@
@hunger@|@kajante@
@hungry@|@kajajnan, kajauinan@
@hurry@|@hichïn@
@husband@|@had-kip, hatkït, hatkïtn@
@husk@|@tagechen@
@I@|@ai, aj, ajong, ja@
@I am lying down@|@itenang@
@I beat@|@elota@
@I become@|@d-äja-ng@
@I buy@|@xapitan@
@I condone@|@tarababa@
@I cut@|@tonoopatyk@
@I dress myself@|@dašiang@
@I forget@|@enoši@
@I know@|@ngäliga@
@I laugh@|@chakaigán, chakälche, chakälchi, chakölajang@
@I press@|@hachapitang@
@I rub it@|@bachengang@
@I see@|@thangang@
@I sell@|@xabak@
@I shall enter@|@dächokng@
@I shall overtake@|@thachapilang@
@I shall pour@|@at-p-akng@
@I shoot@|@fotekng@
@I sleep@|@alat, alatan, alatang, dagat@
@I stand@|@dachakngang, játyken@
@I stick into@|@barttajang@
@I tear out@|@döšiang@
@I think@|@angajak@
@I turn round@|@ikajang@
@I wait@|@bafot, baot@
@I weep@|@echen, jacheenon@
@ice hole@|@ulapthai, ulapthäi, ulapthäjang@
@if@|@šum@
@illness@|@hö, xou@
@in front@|@ogaj-bónga@
@in vain@|@üt-pang@
@inside@|@fui, füi, füjang, phui@
@intestine thin@|@thutul, thutulang, thutuli@
@intestines@|@tululáng, tutula@
@iron@|@thip, thipang, tip@
@iron nail@|@išthip, išthipang@
@is heard@|@höti@
@is white@|@tekam@
@island@|@hau-, hau-tu@
@it is heard@|@atpoa@
@jump@|@tox@
@jumping@|@altok, altökng, tökng@
@kidney@|@koipala, koipalei, koipatn@
@killing@|@okchex, oxchex@
@knee@|@aran-šan@
@knife@|@ton@
@lake@|@oltegan, ürtakng, urtég, ürtëg, urtek, ürtëx@
@larch@|@chet, šat, šet, šët@
@lashing@|@anathi, anathijang, anthi, athijang, dathi@
@laugh@|@chake@
@leaf@|@dipang, dipi, dipï, gipan, iban, jipán@
@learning@|@šitäti@
@left@|@thul@
