@English@|@Faroese@
@chief of police@|@landfúti@
@chiefly@|@serstakliga@
@child@|@barn@
@childish@|@barnsligur@
@chilly@|@kaldur@
@chin@|@høka@
@China@|@Kina, Kina, Kina@
@Chinese@|@kinverskur@
@chirp@|@láta@
@chisel@|@høgga út, meitil@
@chive@|@grønleykur@
@chocolate@|@sjokoláta@
@choke@|@køva, kvala, kvala, kyrkja@
@cholera@|@kolera@
@choose@|@kjósa, velja@
@chop@|@høgga@
@chorus@|@kór@
@chrestomathy@|@lesibók@
@Christ@|@Kristus@
@christen@|@doypa@
@Christian@|@kristin@
@Christmas@|@jól@
@chronicle@|@ritgerð, sdjga@
@chuck@|@kela, kína, ynda@
@chunk@|@klunkur@
@chunk of wood@|@kubbi, stabbi@
@church@|@kirkjulið, trúarsamfelag@
@cigar@|@sigar, vindil@
@cigarette@|@sigarett@
@cigarillo@|@serutt@
@cinder@|@øska@
@cinema@|@kykmyndahøll@
@cinquefoil@|@børkuvísa, mura@
@cipher@|@tal@
@circle@|@klingra, kringur@
@circumcise@|@umskera@
@circumference@|@umhvørvi, ummál@
@circumstance@|@umstøður@
@circumstances@|@kor, umstøður, væri@
@cite@|@flyta fram, reksa upp, taka upp eftir ein@
@city@|@býur@
@city hall@|@ráðhús@
@city state@|@býur, staður, státur@
@civil@|@borgaraligur@
@civilian@|@borgaraligur@
@claim@|@reypa@
@clan@|@ættarbólkur, partalag@
@clap@|@skrambla, smella@
@clasp@|@hekti@
@class@|@flokkur, skeið, stætt@
@classic@|@fyrimyndarligur@
@classical@|@fyrimyndarligur@
@clause@|@fyrivarni@
@claw@|@klógv@
@clay@|@leir@
@clean@|@gera reint, reinsa@
@cleanliness@|@reinleiki@
@cleanse@|@gera reint, reinsa@
@clear@|@ljósur, týðuligur@
@clearly@|@gjølla, týðuliga@
@cleft@|@fjallaskarð@
@clergyman@|@prestur@
@clever@|@dugnaligur, sniðfundigur, snildur@
@cliché@|@prentmót, prentmynd, rangmynd@
@click@|@skrambla, smella@
@client@|@viðskiftafólk@
@climate@|@líkindi, veðurlag@
@climb@|@klintra, klíva@
@clip@|@klippa@
@cloak@|@hjáputur, kápa, møttul@
@clock@|@klokka, ur@
@clod@|@klunkur@
@close@|@fyri hond, inniligur, lata aftur, nær, náminda, trúnaðar-@
@closet@|@skáp@
@cloth@|@dúkur, klæði, klædnatilfar, turriklæði@
@clothe@|@lata í@
@cloud@|@skýggj@
@clover@|@smæra@
@clown@|@fívil, gekkur@
@club@|@klubbi@
@club member@|@felagslimur, klubbalimur@
@clubs@|@kleyvari@
@cluster@|@bundi, teyggja, tyssi, tyssi@
@coach@|@ala upp, íðka, jarnbreytarvognur@
@coal@|@kol@
@coat@|@frakki@
@cock@|@kynslimur mans, skapningur@
@cocktail@|@vínbland@
@coconut@|@kokusnøt@
@cod@|@toskur, turrur fiskur@
@code@|@loyniskrift@
@codfish@|@toskur, turrur fiskur@
@coffee@|@kaffi@
@coffin@|@líkkista@
@cognac@|@konjak@
@coil@|@spoli@
@coin@|@myntur@
@coir@|@kór@
@coition@|@samlega@
@cold@|@kaldur, kaldur, kølin@
@collar@|@flippa@
@colleague@|@lagsbróðir, starvsbróðir@
@collect@|@savna@
@collection@|@flokkur@
@collision@|@samanstoytur@
@colossus@|@risi@
@colour@|@litur@
@column@|@stakkur, steyri, súla, teigur@
@comb@|@kemba@
@combination@|@sameining@
@come@|@koma av, vera ættaður frá@
@come about@|@gerast, henda seg, verða, verða hildin@
@come across@|@hitta, møta@
@come back@|@koma aftur, venda við@
@come to an end@|@verða endaður@
@come together@|@sameinast@
@comet@|@halastjørna@
@comfort@|@ugga@
@comfortable@|@hugnaligur@
@comic@|@láturligur, margháttligur@
@comical@|@láturligur, margháttligur@
@comma@|@komma@
@command@|@boð@
@commence@|@byrja, verða byrjaður@
@commencement@|@byrjan, uppruni@
@commend@|@heiðra, rósa@
@commissar@|@umboðsmaður@
@committee@|@nevnd@
@commodity@|@vøra, vøruslag@
@common@|@felags, gerandis, óvandaligur, vanligur, vanligur@
@communicate@|@kunngera, upplýsa@
@communion@|@altargongd@
@communism@|@kommunisma@
@companion@|@lagsbróðir@
@company@|@handilshús@
@compare@|@bera saman@
@comparison@|@samanburður, sammeting@
@compass@|@kumpass@
@compassion@|@miskunn, samkensla@
@compensate@|@javna aftur, samsýna@
@compete@|@kappast@
@competent@|@málførur, serkønur@
@complain@|@gremja seg, harmast, kvarta@
@complete@|@fullfíggjaður, fullfíggjaður, fullur@
@complicated@|@fløktur, torførur@
@compose@|@skriva@
@comprise@|@fevna um@
@compute@|@rokna, telja@
@comrade@|@lagsbróðir@
@conceal@|@dylja, fjala, krógva@
@concede@|@játta@
@conceited@|@erpin, fáfongdur, lítilsverdur@
@conceive@|@gita lív@
@concentrated@|@tættur, tjúkkur@
@concept@|@áskoðan, hugtak@
@concern@|@koma við, nerva@
@concerning@|@viðvíkjandi, viðvíkjandi@
@concert@|@ljómleikur@
@conclusion@|@niðurløga, úrskurður, úrslit@
@condemn@|@døma@
@condition@|@kor, skil, umstøður, væri@
@condolences@|@samkensla@
@conduct@|@føra@
@conduct oneself@|@bera seg@
@confederation@|@samgonga@
@conference@|@samrøða@
@confess@|@ganga við@
@confession@|@trúarjáttan@
@confide@|@líta til@
@confidence@|@álit, góðvarni@
@confine@|@avmarka@
@confirmation@|@ferming, konfirmatión@
@confiscate@|@leggja hald á@
@conforming@|@samsvarandi@
@confront@|@venda sær ímóti@
@confuse@|@ørkymla@
@congratulate@|@ynskja tillukku@
@congregate@|@hittast, koma saman@
@congress@|@ráðstevna@
@conjecture@|@meta, skjóta upp á@
@conjunction@|@sambindingarorð@
@connect@|@binda at, knýta saman@
@connection@|@samgonga@
@conquer@|@hertaka, leggja undir seg@
@conscience@|@samvitska@
@consent@|@samlyndi, samtykkja@
@consequence@|@fylgja@
@consequently@|@tískil@
@conserve@|@varðveita@
@consider@|@hyggja at, líta at, rokna sum, virða@
@consist of@|@vera úr@
@console@|@ugga@
@constant@|@støðugur@
@consternation@|@bilsni, skelkur@
@constipation@|@harður opningur, hart lív@
@constitution@|@stýrslag@
@construct@|@byggja, smíða@
@consul@|@konsul@
@consumption@|@bróstsjúka, lugnasjúka@
@contact@|@samband, takføri@
@contain@|@hava við@
@contented@|@nøgdur, væl hýrdur@
@contents@|@innihald@
@continual@|@støðugur@
@continuation@|@framhald@
@continuous@|@óslitin, samfeldur@
@contort@|@snúðra, tvinna, vinda@
@contour@|@umhvarv@
@contraband@|@loynikeypskapur@
@contribute@|@stuðla@
@contribution@|@hjálp, stuðul@
@control@|@ráða fyri, sjórna@
@convenient@|@fýsiligur, makligur, tespiligur@
@convention@|@ráðstevna, sáttmáli@
@conversation@|@samtala@
@converse@|@práta, tala sínámillum@
@convert@|@skifta trúgv, venda um@
@convince@|@sannføra@
@convulsion@|@sinadráttur@
@cook@|@kóka@
@cool@|@kølin@
@coop@|@høsnarhús@
@Copenhagen@|@Keypmannahavn@
@coping@|@møna@
@copious@|@ríviligur@
@copper@|@kopar@
@copy@|@eintak@
@coquettish@|@koksutur@
@cord@|@strongur@
@core@|@kjarni@
@cork@|@tøppur, tundur@
@cormorant@|@skarvur@
@corn@|@hørð, húð, mais@
@corner@|@horn, leggja undir seg@
@corporal@|@korporálur@
@corps@|@herdeild@
@corpse@|@lík, ræ@
@correct@|@rætta@
@correspond@|@skifta brøv@
@corridor@|@gong@
@corrode@|@eta seg inn í@
@cosmetic powder@|@putur@
@cosmos@|@alheimurin@
@cost@|@kosta@
@costume@|@búni@
@cottage@|@smátta@
@cotton@|@bummull@
@couch@|@legubonkur@
@cough@|@hosta@
@counsel@|@geva boð, geva ráð, ráða til@
@count@|@greivi@
@count in@|@leggja saman, telja saman@
@country@|@land@
@couple@|@hjún, køkja, kopla@
@courage@|@dirvi@
@courageous@|@djarvur@
@courier@|@snarboð@
@course@|@fat, skeið@
@court@|@fjasa, garður, tún@
@courteous@|@fólkaligur@
@courtyard@|@garður, tún@
@cousin@|@systkinabarn@
@cover@|@áklæði, fjala, hylja, klæða@
@covet@|@girnast@
@cow@|@kúgv@
@cower@|@húka@
@crab@|@krabbi@
@crack@|@braka, bresta@
@craft@|@óndskapur@
@craftiness@|@óndskapur@
@crane@|@kráni, lyftivinda@
@crank@|@kast, sveingil@
@crawl@|@grulva, krúpa, skríða@
@crayfish@|@áarkrabbi@
@crazy@|@frá sær sjálvum, vitleysur@
@creak@|@braka, grísla, hvína, knarra, ríkja, skrenja, skróva@
@cream@|@rómi@
@create@|@skapa, skriva@
@credulous@|@góðtrúgvin@
@creep@|@grulva, krúpa, skríða@
@cricket@|@veggjasmiður@
@crime@|@brotsgerð@
@criminal@|@til sakar@
@crippled@|@avlamin@
@crisis@|@kreppa@
@croak@|@gorra@
@crockery set@|@borðbúnaður@
@crocodile@|@krokodilla@
@crook@|@bakbeist, skálkur@
@cross@|@ganga tvørturum, koma tvørturum, krossur, leggja í kross@
@crouch@|@húka@
@crow@|@kráka, krákufuglur, ravnur@
@crown@|@króna, krúna@
@crucify@|@krossfesta@
@crude@|@ráur@
@cruel@|@grimmur@
@cruise@|@skáksigla@
@crumb@|@breyðmoli@
@crush@|@knúsa, mjølva, smildra, sora@
@cry@|@gráta, róp, skríggj@
@cry out@|@skríggja@
@cube@|@terningur@
@cuckoo@|@geykur@
@culture@|@mentan@
@cultured@|@mentaður@
@cunning@|@óndskapur, sniðfundigur, snildur@
@cup@|@koppur@
@cupboard@|@skáp@
@cupola@|@kúpa@
@cure@|@grøða, røkja@
@curious@|@forvitin, sjáldsamur@
@curl@|@hárlokkur, píska, røra, seta hárið@
@currant@|@reyðber, reyðberjarunnur, ribs, ribsrunnur@
@currant bush@|@reyðberjarunnur, ribsrunnur@
@current@|@núverandi, streymur@
@curse@|@banna, bannast, svørja@
@curtain@|@gardina, gluggatjald@
@curtsy@|@bukka, níga@
@curved@|@bogin@
@cushion@|@koddi@
@cuss@|@banna, bannast, svørja@
@custom@|@siður, vani@
@customer@|@viðskiftafólk@
@cut@|@evna til, høgga, klippa, prentmót, prentmynd, rangmynd, skera, skera, sláa@
@cycle@|@súkkla@
@cyclone@|@meldurhvirla@
@cynical@|@kensluleysur@
@Czechoslovakia@|@Kekkoslovakia, Kekkoslovakia@
@dad@|@pápi@
@daddy@|@pápi@
@dagger@|@slíðraknívur, spjót@
@daily@|@hvønn dag@
@daisy@|@summardái@
@damage@|@mein, oyðileggja, skaði, skipbrot@
@damn@|@banna@
@damp@|@rái, slagin, slevja, væta@
@dance@|@dansa, dansiveitsla@
@dancer@|@dansari, dansarinna@
@dandelion@|@hagasólja@
@dandy@|@fínibeiggi, mótaprinsur@
@Dane@|@dani@
@dangerous@|@hættisligur@
@Danish@|@danskur@
@Danube@|@Donau@
@dare@|@hætta, vága@
@darkness@|@kølmyrkur, myrkur@
@dark-room@|@myrkt rúm@
@darling@|@góði, hin gamli@
@date@|@ástarfundur, dadla, dagfesta, loynifundur@
@daughter@|@dóttir@
@daughter-in-law@|@sonarkona@
@dawn@|@morgunroði@
@day@|@dagur@
@daydream@|@droyma@
@dazzle@|@blinda@
@de luxe@|@marglætis@
@deaf@|@deyvur, dulur@
@deal@|@býta út@
@deal with@|@fara við, handfara, tingast, viðgera@
@dear@|@hávirdur, heiðraður@
@death throes@|@andaleypsbrot@
@debauchery@|@drykkjuskapur, gamansleikur@
@debris@|@rusk@
@decant@|@síla frá@
@decapitate@|@avhøvda, hálshøgga@
@decayed@|@skirvisligur, ússaligur@
@deceive@|@lumpa, snýta, svíkja@
@December@|@desember@
@decide@|@gera av@
@decipher@|@gita, týða@
@deck@|@skipsdekk, tilja@
@decline@|@afturgongd@
@décor@|@pynt@
@decoration@|@pynt@
@decoy@|@draga at sær, lokka@
@decree@|@fyriskipan@
@decrepit@|@skirvisligur, ússaligur@
@dedicate@|@ogna@
@deduct@|@taka av@
@deem@|@rokna sum, trúgva@
@deer@|@hjørtur@
@defeat@|@ósigur, sigra, tap, vinna@
@defecate@|@skíta@
@defiance@|@treiskni@
@deficit@|@hall, undirskot@
@defile@|@vanhalga@
@define@|@gera av@
@defining@|@bundin@
@definite@|@endaligur@
@definitely@|@avgjørt@
@definitive@|@endaligur@
@defraud@|@falsa, svíkja@
@defy@|@bjóða av@
@degenerate@|@kryplast, spillast, úrskeplast@
@degree@|@heiti@
@delay@|@bíða við, drála@
@delegate@|@sendimaður@
@delete@|@turka@
@delight@|@hugtaka, tøla@
@delight in@|@njóta@
@deliver@|@lata flýggja@
@delta@|@ósi@
@deluge@|@ódnarflóð, syndflóð, vatnflóð@
@deluxe@|@marglætis@
@den@|@hola, reiður@
@Denmark@|@Danmark@
@denounce@|@klaga, melda@
@dense@|@tættur, tjúkkur@
@deny@|@nokta, sýta@
@depart@|@fara avstað@
@depend@|@standa til, valdast@
@depression@|@kreppa@
@depth@|@dýpi@
@depute@|@velja umboð@
@derive@|@koma av, vera ættaður frá@
@descend@|@ganga oman, stíga niður@
@descry@|@fáa eyga á@
@desert@|@fara frá, oyðimørk@
@deserve@|@hava uppiborið@
@design@|@ætlan, strikumynd, tekna, upprit, uppskot@
@desire@|@ynski, ynskja@
@desk@|@skriviborð@
@desolate@|@tyngjandi@
@despair@|@vónleysi@
@destiny@|@lagna@
@destroy@|@beina fyri, leggja í oyði@
@detail@|@smálutur, staklutur@
@detain@|@halda aftir, halda frá, hava eftir@
@determine@|@gera av, gera av, siga greiniliga@
@determining@|@bundin@
@develop@|@búnast, mennast@
@development@|@gongd, menning@
@deviation@|@frávik@
@device@|@tól@
@devil@|@djevul, fani, hin fánýtu, illamaður@
@devote@|@ogna@
@dew@|@døgg@
@dexterous@|@dugnaligur@
@diabetes@|@sukursjúka@
@diagram@|@ætlan, uppskot@
@dialogue@|@samtala millum tvey@
@diarrhoea@|@lívsýki, lívsýki, skræpa@
@dictate@|@siga fyri@
@dictionary@|@orðabók@
@die@|@doyggja@
@difference@|@munur@
@different@|@ólíkur, ymiskur@
@differently@|@aðrastaðni, annars@
@difficult@|@torførur@
@dig@|@grava@
@digest@|@melta, sodna@
@digestion@|@sodnan@
@digit@|@tal@
@dilapidated@|@skirvisligur, ússaligur@
@dilemma@|@ráðaloysi@
@diligent@|@hugagóður@
@dimension@|@stødd, vav, vídd@
@diminutive@|@lítil@
@dining-room@|@borðstova, borðstova, matstova@
@dip@|@dyppa@
@diploma@|@prógv, váttan@
@direct@|@beinur, ráða, stjórna@
@direction@|@leið@
@directions@|@leiðbeining@
@director@|@stjóri@
@dis-@|@ó-@
@disappear@|@hvørva@
@disappointment@|@ekki, gremjan@
@discharge@|@koyra frá@
@disciple@|@lærusveinur@
@discipline@|@agi@
@discontented@|@misnøgdur@
@discrete@|@stillfarandi@
@discussion@|@umrøða@
@disease@|@sjúka@
@disgust@|@vaml@
@dish@|@fat@
@dish cloth@|@turkiklæði, viskustykki@
@dishevel@|@frísa, karða@
@disinfect@|@sóttreinsa@
@disintegrate@|@skilja sundur@
@dismal@|@illa hýrdur, múlatrútin, neyðar, neyðars, syrgiligur, syrgin, tyngjandi@
@dismiss@|@koyra frá@
@dispatch@|@avgreiða@
@displeased@|@misnøgdur@
@disposal@|@lyndi@
@dispose of@|@selja@
@disposition@|@nakað at ráða yvir, nakað sum er til taks@
@dispute@|@kjak, kjakast, orðadráttur@
@dissatisfied@|@misnøgdur@
@dissect@|@skera sundur@
@dissemble@|@hykla@
@dissipation@|@drykkjuskapur, gamansleikur@
@distance@|@frástøða@
@distant@|@fjarskotin, fjarur@
@distinct@|@týðuligur@
@distinguish@|@eyðkenna, heiðra, sermerkja, skilja, skilja frá@
@distracted@|@burtur í øðrun heimi@
@distraction@|@skemtan, tíðarstytting@
@distribute@|@býta út, býta út@
@district@|@býarpartur, býlingur, fylki, umdømi@
@disturb@|@órógva@
@divan@|@legubonkur@
@dive@|@fara undir í vatni, kava@
@diverse@|@ymiskur, ymissur@
@diversion@|@skemtan, tíðarstytting@
@divide@|@býta sundur, skilja sundur@
@do@|@seta hárið@
@dock@|@dokk, hømilia@
@doctor@|@doktari, lækni@
@dog@|@hundur@
@doll@|@dukka, reivvera@
@dollar@|@dollari@
@dolphin@|@delfin, springari@
@dome@|@hválv, kúpa@
@domestic@|@sum húsfólk@
@donate@|@geva gávu@
@donkey@|@ásin, asni@
@door@|@dyr, hurð@
@dose@|@heiliverður@
@double@|@dupultur@
@doubt@|@ivast, ivi@
@dough@|@deiggj@
@dove@|@dúgva@
@down@|@dún, niður@
@downstairs@|@niðri@
@dowry@|@heimanfylgja, útgerð@
@doze@|@durva@
@dozen@|@tylft@
@Dr.@|@dr.@
@draft@|@veksil@
@drag@|@draga, draga, hála, hála, sleipa@
@dragon@|@dreki@
@dragonfly@|@gullsmiður@
@drama@|@leikur, sorgarleikur@
@draw@|@draga, hála, oysa, strika, tekna, tøma@
@draw attention@|@gera vart við@
@draw lots@|@kasta lut@
@drawers@|@undirbuksur@
@dreadful@|@ræðuligur@
@dream@|@dreymur, droyma, droyma@
@dreary@|@illa hýrdur, oyðin, syrgiligur, tyngjandi@
@dress@|@binda um, kjóli, lata í, seta plástur á@
@dress-coat@|@velajakki@
@drill@|@bora@
@drink@|@drekka, drekka, drykkjuvøra, tostadrykkur@
@drink to excess@|@drekka@
@drip@|@dropi@
@driver@|@bilstjóri@
@drizzle@|@sirma@
@droop@|@hanga@
@drop@|@dropi, falla, lata falla@
@drown@|@drukna@
@drug@|@drøgg@
@drum@|@trumma@
@drunkenness@|@rúsur@
@dry@|@torna, turka, turrur@
@dryness@|@turkur, turringur@
@dual@|@dupultur@
@duck@|@dunna, ont@
@dude@|@fínibeiggi, mótaprinsur@
@dues@|@haldaragjald, limagjald, samanskot@
@duke@|@hertugi@
@dull@|@ógreiður, ótýðiligur@
@dumb@|@dumbur, tigandi@
@dump@|@díkja undir, stroya@
@during@|@meðan, um@
@during the day@|@um dagin@
@during the night@|@um náttina@
@dusk@|@hálvalýsing, skýming@
@dust@|@dust@
@dust rag@|@turkiklæði, viskustykki@
@dwarf@|@dvørgkendur, dvørgvaksin@
@dwell@|@búgva, gista@
@dwelling@|@íbúð@
@dye@|@liting, litur, litur@
@each@|@allir, hvør, hvørt@
@each other@|@hvør annan@
@eager@|@grammur@
@eagle@|@ørn@
@ear@|@kornaks, oyra@
@earl@|@greivi@
@early@|@árla, tíðliga@
@earn@|@vinna@
@earnest@|@álvarsamur@
@earth@|@jørð, mold@
@earthworm@|@reyðmaðkur@
@easel@|@arbeiðsborð, borðstólur@
@Easter@|@páskir@
@easy@|@lættur@
@eat@|@eta@
@echo@|@afturljóð, bergmál, gella@
@ecstatic@|@findarglaður@
@edge@|@strond, trom@
@edging@|@trom@
@editor@|@blaðstjóri@
@educate@|@ala upp, læra@
@educated@|@mentaður@
@eel@|@állur@
@effect@|@úrslit@
@effort@|@ómakur, ómakur, strev, stríð@
@egg@|@egg@
@Egypt@|@Egyptaland@
@eight@|@átta@
@either ... or@|@annaðhvørt ... ella@
@elastic@|@gyrðin, smidligur, stældur@
@elbow@|@albogi@
@elect@|@kjósa, velja@
@electric plug@|@tøppur@
@electricity@|@ravmagn@
@elegant@|@fínur, snøggur@
@elegy@|@harmaljóð, sorgarljóð@
@element@|@smálutur, støði@
@elemental@|@grund-@
@elementary@|@grund-@
@elements@|@stavrað@
@elephant@|@fílur@
@elf@|@álvur, huldufólk@
@elk@|@elgur@
@else@|@aðrastaðni, annars, longur, meira@
@embarrass@|@koma í kløtur@
@embarrassment@|@trupulleiki@
@embrace@|@fevna@
@embroider@|@baldýra, seyma í, seyma uppi@
@emerald@|@smyril@
@emergency@|@kreppa@
@eminent@|@framúrskarandi@
@emmet@|@meyra@
@emotion@|@sinnisrørsla@
@emphasis@|@dentur, herðing@
@empire@|@heimsveldi@
@employ@|@leiga, nýta@
@employment@|@nýtsla@
@empty@|@tómur@
@encounter@|@hitta, møta@
@encourage@|@líva upp@
@encyclopaedia@|@alfrøðibók@
@end@|@enda, endi, ending, verða endaður@
@end up@|@verða endaður@
@endeavour@|@kýta seg, sjabba, strevast@
@ending@|@endi@
@endure@|@halda út, orka, tola, tola, torga@
@enemy@|@fíggindi, óvinur@
@energy@|@ágrýtni, orka@
@engine@|@maskina@
@engineer@|@verkfrøðingur@
@English@|@enskt, enskur@
@Englishman@|@onglendingur@
@engrave@|@prunka, rista@
@enigma@|@gáta@
@enjoy@|@frøa, frøast, gleða, gleða seg, njóta@
@enjoyable@|@fittligur@
@enlarge@|@økja, vaksa um@
@enormous@|@ómetaligur, risastórur@
@enough@|@í so, nóg, nóg mikil, nóg so@
@enter@|@fara inn@
@enterprise@|@fyritøka, tiltak@
@enthusiasm@|@eldhugi@
@entice@|@freista@
@entirely@|@heilt@
@entomb@|@jarða@
@entrust@|@líta til@
@envelope@|@brævbjálvi@
@environment@|@umhvørvi@
@envy@|@øvund@
@Epiphany@|@trettandi dagur jóla@
@episode@|@hending@
@epoch@|@tíðarvend@
@equal@|@eins, javnur við, svara saman við, tað sama@
@equally@|@eins, somuleiðis@
@equilibrium@|@javnvág@
@equinox@|@javndøgur@
@equip@|@búgva út, gera út@
@equivalent@|@javn-, samsvarandi@
@era@|@skeið, tíðarbil, tíðarvend@
@eraser@|@gummi@
@erect@|@stovna, stovna@
@errand@|@boð, sendiboð@
@error@|@mistak@
@erysipelas@|@rósin@
@escort@|@fylgja@
@especially@|@serstakliga@
@Esperantist@|@esperantistur@
@essay@|@viðvera@
@essence@|@aðalinnihald@
@establish@|@sanna, stovna, stovna@
@estate@|@bóndagarður@
@estimate@|@meta@
@Estonia@|@Estland@
@et cetera@|@og so framvegis@
@etc.@|@o. s. fr.@
@ethnic group@|@ættarbólkur@
@ethos@|@hýrur, lag@
@Europa@|@Europa@
@Europe@|@Europa@
@evade@|@sleppa frá@
@even@|@eins, enntá, javnur, javnur við, sjálvt, slættur, tað sama@
@evening@|@kvøld@
@evening dress@|@velajakki@
@event@|@hending, høvi, týðandi hending@
@ever@|@altíð, onkuntíð@
@-ever@|@sum helst@
@everlasting@|@álhaldandi, endaleysur@
@every@|@allir, hvør, hvørt@
@every kind of@|@alskyns@
@every one@|@allir, hvør, hvørt@
@everybody@|@allir, hvør, hvørt@
@everyday@|@óvandaligur, vanligur@
@everyone's@|@alra@
@everything@|@alt@
@everywhere@|@allastaðni@
@evident@|@eyðsæddur@
@evolution@|@gongd, menning@
@evolve@|@búnast, mennast@
@exact@|@girnast, heinta, nágrannur, neyvur@
@exactly@|@akkurát, gjølliga, júst, nágreiniliga, raðið, rætt, stundisliga@
@examination@|@próvtøka@
@examine@|@hoyra, hyggja eftir, kanna, rannsaka@
@example@|@dømi@
@exceedingly@|@óvanliga@
@excellency@|@hátign@
@except@|@umframt@
@except for@|@umframt@
@exception@|@undantak@
@excess@|@flogsan, ólevnaður@
@exchange rate@|@virði@
@excise@|@nýtsluskattur@
@excise-duty@|@nýtsluskattur@
@excitation@|@sinnisrørsla@
@excitement@|@sinnisrørsla@
@exclusively@|@bert@
@excommunication@|@bannseting@
@excursion@|@útferð@
@excuse@|@orsaka, umbera@
@execute@|@avrætta, taka av døgum@
@exercise@|@íðka, venjing@
@exercise-book@|@hefti, skrivihefti@
@exhausted@|@deyðgivin@
@exile@|@úlegd@
@exist@|@vera til@
@exit@|@fara út@
@exotic@|@úr fjarskotnum londum@
@expansion@|@víðkan@
@expect@|@bíða, vænta@
@expedition@|@rannsóknarferð@
@expenses@|@útreiðsla@
@experience@|@roynd, uppliving@
@expert@|@serfrøðingur@
@expire@|@doyggja, verða endaður@
@explain@|@greiða frá@
@explanation@|@frágreiðing@
@explode@|@bresta@
@exploit@|@ama út, eyðræna@
@explore@|@rannsaka@
@express@|@orða, siga@
@expression@|@yvirbragd@
@extend@|@rætta út, toyggja@
@extension@|@eftirskoyti@
@extensive@|@rúmur, víður@
@exterminate@|@avoyða, týna@
@external@|@uttanum, ytri@
@extinguish@|@sløkkja@
@extract@|@úrdráttur@
@extraordinarily@|@óvanliga@
@extreme@|@evstur, markleysur, ytsur@
@extremely@|@nógv, øgiliga, stórliga@
@exult@|@skera í fagnaðarróp@
@eye@|@eyga@
@eyebrow@|@eygnabrúgv@
@eyelid@|@eygnalok@
@fable@|@ævintýr, dømi@
@fabricate@|@framleiða@
@face@|@andlit, venda sær ímóti@
@facile@|@lættur@
@facilitate@|@gera lætt, gera lættari, lætta@
@fact@|@sannroynd@
@factory@|@verksmiðja@
@fade@|@blikna, følna@
@fail@|@miseydnast@
@failure@|@húsagangur, miseydna@
@faint@|@dána, falla í óvit, svíma, veikur@
@fair@|@marknaður, rættvísur@
@fairly@|@til tað, upp á seg@
@fairy tale@|@ævintýr@
@faith@|@álit@
@faithful@|@trúgvur@
@falcon@|@falkur, smyril@
@fall@|@fall, falla@
@falsify@|@falsa, falska@
@fame@|@giti, heiður@
@family@|@ætt, húsfólk, hýski@
@family tree@|@ættatal@
@famous@|@viðgitin@
@fanatical@|@øðisligur, trábeitin, yvirhugaður@
@fancy@|@droyma, hugsa sær@
@fantasy@|@dreymasjón, heilaspuni, hugflog@
@far@|@fjarskotin, fjarur@
@fare@|@dáma, hava tað, kenna seg, vita við@
@farewell@|@farvæl@
@farm@|@bóndagarður@
@farmer@|@bóndi, uppsitari@
@fashion@|@háttur@
@fast@|@fasta, fastur, kvikur, skjótt, skjótur@
@fasten@|@steingja@
@fat@|@feitur, hyldligur, tjúkkur@
@fate@|@lagna, lagna@
@father@|@faðir@
@father-in-law@|@verfaðir@
@fatty@|@feitur@
@faucet@|@krani, tøppur@
@favourable@|@hollur@
@fear@|@angist, óttast, ótti, vera bangin@
@feast@|@hátíðarborðhald@
@feather@|@fløður, pennur@
@feature@|@andlitsbragd, bragd@
@February@|@februar@
@feed@|@eta, seta á beiti@
@feel@|@føla, káva, kensla, nerta, trilva@
@feel dizzy@|@øra@
@feeling@|@kensla@
@feign@|@látast@
@fellow@|@maður, mannfólk@
@fellow-thinker@|@partamaður, viðhaldsmaður@
@felt@|@filt, tóvi@
@female@|@hon@
@female cat@|@ketta@
@female teacher@|@lærarinna@
@fence@|@fikta@
@fern@|@trøllakampur@
@ferry@|@ferja@
@fertile@|@fruktagóður@
@fertilizer@|@tøð@
@festival@|@hátíð, veitsla@
@fetter@|@fjøtra, steigja inni@
@fever@|@fepur, hitasótt, hiti@
@few@|@fá, fáar, fáir@
@fewer@|@minni@
@fewest@|@minst@
@fiancé@|@brúðgómur, festarmaður@
@fiasco@|@miseydna@
@fiber@|@tægr, trevja@
@fibre@|@tægr, trevja@
@fictional@|@hugsaður, óveruligur@
@fictitious@|@hugsaður, óveruligur@
@fief@|@len@
@field@|@bøur, bøur, fløttur, velta@
@fig@|@fika@
@fight@|@berjast@
@figure@|@tal@
@file@|@fíla, raðfylgi, skjátta@
@filing card@|@seðil@
@fill@|@fylla@
@fill in@|@fylla@
@fill up@|@fylla@
@filter@|@síla frá@
@final@|@endaligur@
@finally@|@at enda@
@find@|@finna@
@find oneself@|@finnast, vera at finna@
@find out@|@fáa at vita@
@fine@|@peningabót, vakur@
@finger@|@fingur@
@finish@|@enda@
@finished@|@liðugur, til reiðar@
@Finn@|@finnlendingur@
@fir@|@grann@
@fire@|@eldur, koyra frá, skjóta@
@fireplace@|@eldstaður@
@firm@|@fastur, haldgóður, handilshús@
@first@|@fyrsti, í fyrsta lagi@
@first name@|@fornavn@
@first of all@|@í fyrsta lagi@
@firstly@|@í fyrsta lagi@
@fish@|@fiskur@
@fisherman@|@fiskimaður, fiskimaður@
@fist@|@nevi@
@fit@|@duga, vera nóg góður@
@fit out@|@pynta@
@fitful@|@lúnutur, ríggjutur@
@fitting@|@samsvarandi@
@five@|@fimm@
