@future suggestive@|@-r@
@gall@|@seb@
@garlic@|@šarš@
@gate-fold@|@urin@
@general participle@|@-ru@
@genitive@|@-n@
@gerund imperfective@|@-ri@
@gerund perfective@|@-nu@
@get cold@|@-abqIub, a=r-@
@give@|@t-uw-@
@glass@|@hamg@
@goat@|@ceh, cich@
@goat's tail@|@qucquc@
@god@|@allah@
@gold@|@jišur@
@good@|@užu@
@goose@|@Gaz@
@grain@|@udar@
@grandchild@|@cudul@
@grandfather@|@aba@
@grandmother@|@bab@
@grape@|@tumut@
@grass@|@qaç, uk@
@grasshopper@|@cic, ukan qIanc:@
@grave@|@naqw@
@greedy@|@muq:i@
@green@|@çru@
@grey@|@caru, cixi@
@grindstone@|@axal@
@gristle@|@qašqaš@
@grove@|@kapal@
@growth@|@jurr@
@guest@|@häliž, xIalu-ž@
@gullet@|@düd@
@gum@|@šqaq@
@hair@|@car, çar@
@half@|@hac, šur@
@hamster@|@heržil@
@hand@|@hil, xil@
@handful@|@mig@
@hank@|@cikw@
@hare@|@rIur@
@harrow@|@rar@
@hawk@|@waçaj, žünerg@
@head@|@kul@
@heap@|@gunt@
@heart@|@juk, jukw@
@hearth@|@marc-ar, ukj-ar@
@heavy@|@aqIu-v@
@hedgehog@|@qIuIur, qIurIur, rIutra-him@
@heel@|@šaqI@
@heifer@|@liç@
@helminth@|@šar@
@hen@|@pe"@
@high@|@jar-li@
@hind leg of an animal@|@ar@
@hole@|@ulž, urq@
@hollow@|@iç@
@honey@|@jiççw@
@hoof@|@kuram, širkw@
@hook@|@rIarIac@
@hoop@|@tanqIu@
@hoopoe@|@malla-hudhud@
@hope@|@miç@
@horn@|@karç@
@hornbeam@|@mux@
@horse@|@häjvan@
@house@|@hal, xal@
@How are you?@|@Fici wuna?@
@human being@|@admi, insan@
@humming-top@|@tiriš@
@hundred@|@warž@
@hunger@|@gaš@
@hunting@|@xIurç@
@I@|@uzu@
@I love you@|@Uzuz uwu kkunduzuz@
@ice@|@mirk:@
@I'll come tomorrow@|@Zakur g'yurza@
@imperative@|@-0, -in@
@in filled series@|@-r, r-@
@in front@|@uli-x@
@intestines@|@rIan@
@iron@|@ruq, ruq'@
@island@|@ostrov@
@it is high time@|@çewe-n@
@jump from above@|@urs-@
@key@|@žüleg@
@kid less than 1 y. old@|@mudur@
@kidney@|@gurdum, tur@
@kill@|@ji=k-@
@king@|@paççah@
@kitchen@|@capru hal@
@knee@|@qamq@
@knot@|@qIurqI@
@lace@|@qIwatal@
@ladder-step@|@kur@
@lake@|@dagar@
@lamb after 6 months@|@sum-ag@
@lamb less than 6 months old@|@ç:il@
@lame@|@liku@
@language@|@cal@
@last year@|@saç@
@lateral series@|@-k, k-@
@lative@|@-na@
@leaf@|@kaž@
@lean@|@jaxun-f@
@leather strip@|@çul@
@leathern foot-wear@|@tirx@
@leave@|@r-i=t-@
@leech@|@wiçri@
@left@|@gagul@
@leg@|@lik@
@letter (alphabet)@|@härf@
@letter (mail)@|@kaGaz, kaž@
@life@|@jašajiš, ümur@
@light@|@akw@
@light brown@|@raši@
@lightning@|@cajlapan, raprap@
@linden@|@xIard@
@lip@|@kwant@
@liquid@|@šmi@
@liver@|@lik@
@lizard@|@çurçul@
@load@|@rar@
@locative suffix@|@-k:, k:-@
@lock@|@tapar@
@log@|@qurç@
@long@|@jarxi@
@long rag@|@mursul@
@louse@|@nic:, nicc@
@lung@|@rurdil@
@magpie@|@q:Iarq:Iar@
@make a warp@|@wu=š-@
@malt@|@miçi@
@man@|@ži, žilir@
@manger@|@tun@
@manure@|@ursil@
@maple@|@werš@
@mare@|@xwar@
@mark@|@miži@
@marten@|@curcul@
@masdar@|@-b@
@massive@|@çatxu@
@meadow@|@xIar@
@measles@|@kamk-ar@
@meat@|@jik:, jikk@
@middle@|@qäl@
@milk@|@nik:, nikk@
@mill@|@rarI-in@
@millet@|@duk@
@mint@|@nühr-er, šüše@
@minute@|@daqiqa@
@money@|@pul@
@monkey@|@majmun@
@month@|@vaz, waz@
@mortar@|@qut, takw@
@mosquito@|@mizmiz@
@moth@|@sur@
@mother@|@ana, dada@
@mould@|@mers, xax@
@mountain@|@daG, siw@
@mountain pass@|@arx-hajiš@
@mouse@|@qIul@
@mouthful@|@xump@
@naked@|@qIacli@
@name@|@ç:ur, ççwur@
@narrow@|@isel, k:u-ru@
@nature@|@tabiät@
@navel@|@xut@
@near@|@baga-x, dülesyn@
@needle@|@rub@
@neighbour@|@Gunši@
@nest@|@muqu-w@
@nestling@|@chaIrt@
@nettle@|@warži@
@neutral preverb@|@d-@
@new@|@ciji, taza@
@niece@|@xtul@
@night@|@jiš@
@nine@|@urçu-b@
@nit@|@nit@
@noise@|@ral@
@nominative@|@-0@
@northern slope of a mountain@|@xwank@
@nose@|@qIuqI@
@not@|@d-@
@number@|@nomer, numra@
@oak-tree@|@maqIw@
@oat flour@|@su@
@oath@|@xu@
@oats@|@gargar@
@obl. stem@|@-di-, -li-, -lu, -ni, -nu, -ru, ri-@
@oblative stem@|@-ji-@
@occiput@|@gug@
@oil@|@ççim@
@old@|@jirsi@
@old (not new)@|@jirsi, kühne@
@old (not young)@|@qabi@
@one@|@sa@
@one of several wives@|@qIamš@
@oneself@|@uç, žuw@
@onion@|@dekku@
@ordure@|@çq:I-ur@
@owl@|@tip:@
@ox@|@jic@
@page@|@maš@
@pain@|@iccrušin@
@paper@|@kaGaz@
@partridge@|@q:aq:uba@
@pasture@|@çur@
@patch@|@cil@
@paternal uncle@|@em@
@path@|@rix@
@paw@|@bac, mucu@
@pea@|@harar, nahutar@
@pea(s)@|@xar@
@peach@|@žuGri@
@pear@|@žixir@
@peg@|@qum@
@pen@|@at:ur@
@penis of a boy@|@bilbil, mimit@
@people@|@halq@
@pepper@|@istavut@
@perch@|@curan@
@perfective prefix@|@r-@
@pickaxe@|@gazu@
@piece@|@qat@
@pig@|@sil@
@pigeon@|@luf@
@pillow@|@guta@
@pimple@|@tur-kal@
@pincers@|@qIanc:@
@pitchfork@|@qIurš@
@place@|@jiš@
@plait@|@kuš@
@planking for the ceiling@|@qIar@
@plough@|@kutan@
@ploughshare@|@muqu@
@plum@|@hut@
@plural@|@-ar, -er@
@poison@|@aGu, zeher@
@pole@|@buruj, duqan, rward@
@poplar@|@pirpu-n har@
@potato@|@kartfar, kartuf@
@prae series@|@-h, h-@
@present@|@-ra, -ri a@
@preserve@|@u=xI-@
@preverb "above"@|@Vl-@
@prick@|@zaz@
@prophet@|@pajGambar@
@pupil of the eye@|@ulin nini@
@puppy@|@kurcil@
@pus@|@nurra@
@quail@|@qIamqIar@
@question@|@mesla, sual@
@queue@|@raž@
@quickly@|@ux-ti@
@quince@|@kumiš@
@rag@|@berk@
@rain@|@marh, marx@
@raincloud@|@ams@
@ramson@|@liž-ar@
@raspberry@|@zimz-ar@
@ravine@|@arq@
@red@|@üru@
@reed-pipe@|@šut-ram@
@religion@|@din@
@right@|@arçu-l@
@rigid@|@waqIi@
@river-bed@|@qir@
@road@|@räq, raqI:@
@road metal@|@šim@
@roast (grain)@|@u=c-@
@rock@|@Garz@
@roof@|@Gwa", rwa'@
@rook@|@çar, karI@
@room@|@hal@
@root@|@ç:iv@
@rose@|@Gizilgül@
@round@|@gergmi@
@rust@|@murq@
@rye@|@sursul@
@sack@|@šišal@
@salt@|@qil@
@say@|@p-@
@sea@|@hül@
@season@|@devir, ir, vaht@
@second@|@sekunda@
@secretion in the eye@|@burqI@
@seed@|@tum@
@series Ad@|@-x (f-)@
@series Super@|@-il, -in@
@seven@|@urhu-b@
@shame@|@naç@
@shear@|@ult-u=q:-@
@sheath@|@raš-ar@
@sheep@|@çarva, març:, marçç@
@sheep-fold@|@maxi@
@sheep's dung@|@rirril@
@sheep-skin@|@ridiq@
@shell@|@gar, hal@
@ship@|@gimi@
@shirt@|@k:urt:@
@short@|@žiq:i@
@shoulder@|@rIun@
@shoulder-blade@|@marxIlin kurab@
@shovel@|@qasu@
@side@|@rwal@
@sieve@|@sif@
@silk@|@kazdin@
@silver@|@are, ars@
@sister@|@çi@
@sit down@|@d-us-uz, e-gl-@
@six@|@jirxu-b@
@skin@|@li', xam@
@skin without hair@|@qIar@
@sky@|@zav@
@slaughter@|@t-a=k-@
@sleeve@|@luv, xil, xil@
@slice@|@qac@
@slip@|@ul-çu=x-@
@slope@|@maš@
@small@|@bici@
@small bird@|@žaqw@
@small earthenware jug@|@gažin@
@small stone@|@kekel@
@small stones@|@xIaxIal@
@smell@|@ni'@
@smithy@|@žadan@
@smoke@|@kum@
@snail@|@xIaxIa@
@snake@|@bit@
@snipe@|@çirlit@
@snivel@|@qaq-niš@
@snot@|@maara, qIuntuI@
@snow@|@jif@
@snow-drift@|@marrwal@
@soap@|@säbun@
@soil@|@rug@
@son@|@baj@
@soot@|@sirin@
@sorrel@|@liš@
@soup@|@riqi@
@sour@|@uçru@
@span@|@çib@
@speech@|@çal@
@spelt@|@nurxI@
@sperm@|@cama@
@spider@|@xaš, xwaš@
@spinning@|@žar@
