@English@|@Hindi@
@customer / consumer@|@graahak@
@customs(practices)@|@reeti rivaaj@
@cycle@|@Cykil@
@dab(at)@|@kushal@
@dacoit@|@daakoo@
@dacoity@|@daakaa, dakaitee@
@daddy@|@paapaa@
@dagger@|@khanjar@
@daily@|@daineek@
@dainty@|@sundarr@
@dais@|@vyaaspeeth@
@dam@|@baandh, jalaashay@
@damage@|@haanee, shratee@
@damsel@|@kumarikaa@
@dance@|@naach, nrityaa@
@dancer@|@nrityaanganaa(f)@
@danger@|@khatraa@
@dangerous@|@asurakshit@
@dapper@|@chalaakh@
@daring@|@dhairya@
@dark cloud@|@ghataa@
@darkness@|@andhhkaar@
@dashing@|@himmatwaalaa@
@date@|@tareekh@
@daughter@|@betee@
@daughter in law@|@bahoo@
@day@|@Din, waar@
@day(of a week)@|@waar@
@de facto@|@vastootahh@
@dead body@|@laash, murdaa@
@dear@|@preeya@
@death@|@maut, mrityoo, mrityoo, nidhan@
@decade@|@Dashak@
@deceitful@|@dhoort@
@December@|@Disambar@
@decision@|@nirnay@
@declaration@|@vidhaan@
@decoration@|@sajaawat@
@decrement@|@katautee@
@deed@|@karma, kritee@
@deep@|@gehraa@
@deer@|@mrig@
@defamation@|@badnamee@
@defeat@|@haar, paraajay@
@defence@|@rakshaa@
@defence minister@|@rakshaa mantree@
@degree(measurement)@|@ansha@
@dejected@|@udaas@
@delay@|@daeree@
@delicate / fragile@|@naazuk@
@delicious@|@swaadisht@
@demands@|@maangéin@
@democracy@|@lokshahee@
@demon@|@raakshasa@
@dentist@|@dant chikitsak@
@department@|@vibhaag@
@departure@|@prasthaan@
@dependent(behavior)@|@paravlambi@
@depth@|@gehraayee@
@description@|@varrnan@
@desert@|@marusthal@
@destiny@|@niyatee@
@destructible@|@nsahwar@
@destruction@|@naash@
@destructive@|@vinaashak@
@destructive nature@|@vinaashak vrittee@
@determinate@|@nischit@
@determination@|@nischay@
@detraction@|@nindaa@
@detriment@|@haanee@
@detrimental@|@haaneekaarak@
@devaluation@|@avamoolyan@
@development@|@pragatee, unnatee@
@device@|@saadhan, upakaran@
@devil@|@shaitaan@
@devotee@|@bhakt@
@devotion@|@bhaktee@
@dialogue@|@sambhaashan@
@diameter@|@vyaas@
@diamond@|@heera, nageena@
@diarrhoea@|@atisaar@
@dice@|@phaansaa@
@dictator@|@hukumshaah, taanaashaah@
@dictatorship@|@tanaashahee@
@diction@|@bhaashaa-shailee@
@dictionary@|@shabdakosh@
@different@|@alag@
@difficult@|@katheen@
@difficulty@|@mushkil@
@digit@|@anka@
@dignity@|@maananeeyataa@
@digression@|@vishayaantarr@
@diligent@|@mehnatee@
@dimension@|@ayaam@
@dinner@|@raat kaa khaanaa@
@direct / straight@|@seedha@
@direction@|@dishaa, rukh@
@direction(films)@|@digdarshan@
@director(film)@|@digdarshak@
@dirty@|@gandaa@
@disc@|@tashtaree@
@discussion@|@baatcheet, charchaa@
@disease@|@beemari, marj, roag@
@dish@|@thalee@
@dishonest@|@baeimaan@
@disinfection@|@nirrjantookikaran@
@disorder@|@vikaar@
@dispensary@|@dawaakhaanaa@
@displace@|@jagah se hilnaa@
@distance@|@antar, faaslaa@
@distinct@|@spasht@
@disturb / perturb@|@chhednaa, pareshaan karnaa@
@diverse@|@bhinn@
@diversity@|@vividhataa@
@divine@|@daivee@
@division@|@vibhaajan@
@division(math)@|@vibhaajan@
@division(of an organisation)@|@vibhaag@
@divisional@|@vibhaageeya@
@divorce@|@talaak@
@doctor@|@chikitsak@
@documents@|@dastaavez@
@dog@|@kutta@
@doll@|@gudiyaa@
@donation@|@chandaa@
@donkey@|@gadhaa@
@don't do like that.@|@waisa mat karo.@
@don't move!@|@hilnaa mat!@
@doomsday@|@qayamat@
@door@|@darwaajaa, darwaajaa, dwaar@
@doubt@|@shuck@
@down@|@neeche@
@dowry@|@dahej@
@dramatic@|@naatakeeya@
@dramatist@|@naatak-kaar@
@draper@|@bajaaj@
@drapery@|@bajaajee@
@drastic@|@prachand@
@draught@|@akaal, chitrakaari@
@drawback@|@dosh, kamee@
@drawer@|@daraaj@
@dreadful@|@bhayaanak@
@dream@|@khwaab, swapna@
@dreary@|@nirrjan, udaas@
@dregs@|@mael@
@dress(n)@|@pehnaavaa, poshakh@
@dressing@|@vastra@
@drill(exercise)@|@abhyaas, kawayat@
@drill(machine)@|@chhedan yantra@
@driver@|@chaalak@
@drizzle@|@halki baarish@
@drone(derog)@|@kaamchor@
@droplet@|@boond@
@droplets@|@boondein@
@drought@|@akaal, sookhaa@
@drove(n)@|@jhund@
@drowsiness@|@susti@
@drowsy@|@sust@
@drug@|@davaa, dawaa@
@drum@|@dhol@
@drum(musical instru.)@|@dhol@
@drunkard@|@sharaabee@
@dry@|@rookhaa, rookhaa, shushk, sookhaa@
@dryness@|@sookhaapan@
@dual@|@dvik@
@dubious@|@saashank, sandigdh@
@duchess@|@raanee@
@duck@|@batakh, bathtak@
@duct@|@naalee@
@ductility@|@tantoobhavansheelta@
@duet@|@dwandvageet@
@dull@|@dhundhlaa, nirutashi, sust@
@dullness@|@dhundhlaapan, sustee@
@duly@|@yathaayogya@
@dumb@|@bahraa@
@dumbfound@|@hatprabh@
@dumplings@|@pakaude@
@dunce@|@moorkh@
@dung@|@gobar@
@dungeon@|@andh-koop-kaaraagaar@
@dupe(n)@|@bholaa@
@duplicate@|@nakal, pratilipee, pratilipee@
@duplicity@|@kapat@
@durability@|@tikaav, tikaoopan@
@duration@|@avadhi, samay@
@duress@|@dabaav@
@during(prep)@|@dauraan@
@dusk@|@sandhyaakaal@
@dusky@|@dhundhlaa, udaas@
@dust@|@chooraa, dhool@
@dustbin@|@kooda daan@
@dutiful@|@kartavya paraayan@
@duty@|@kartavya@
@duty(tax)@|@kar@
@dwarf@|@baunaa@
@dwelling(n)@|@ghar@
@dye@|@rang@
@dyer@|@rangrez@
@dynamic@|@gatyaatmak@
@dynamics@|@gatee-vigyaan@
@dynastic@|@raajvansheeya@
@dynasty@|@raajvansh@
@dysentery@|@paechish@
@dysentry@|@dast@
@each@|@pratyek@
@eager@|@aadheer, utsuk@
@eagerness@|@utsukataa@
@eagle@|@cheel@
@Ear@|@Kaan@
@early@|@poorv, samay se pehle@
@earnest@|@aparihaas@
@earnestly@|@anuraag se@
@earning@|@kamayee@
@ear-ring@|@karna bhooshan@
@earth@|@prithvee@
@earthen@|@matiyaa@
@earthen pot@|@matkee@
@earthly@|@saansaarik@
@earthquake@|@bhoochaal, bhookamp@
@ease@|@sugamataa@
@easement@|@suvidhaa@
@east@|@poorv@
@easterly@|@poorvee, purvaiya@
@eastern@|@poorvee, purvaiya@
@easy@|@aasaan, asaan, saral@
@easy to access@|@sulabh@
@eaves@|@oaltee@
@ebb@|@bhaataa@
@eccentric@|@avyavasthit, vikendra@
@eccentric(behavior)@|@vikshipt@
@eccentricity@|@vikendrataa@
@echo@|@goonj, pratidhwanee@
@eclipse@|@grahan@
@economical@|@kifayatee@
@economics@|@arthshaastraa@
@economy@|@arth vyavasthaa@
@edition@|@avrittee@
@editor@|@sampaadak@
@education@|@shikshaa@
@effect@|@asar, parinaam, prabhaav@
@effective@|@asardaar, parinaamkarak, prabhaavshalee@
@efficiency@|@kaarya khsamataa@
@efficient@|@kaaryaksham@
@egg@|@andaa@
@eighteen@|@Atharaah@
@Eighth@|@Aanthva (n sounds from nose)@
@eighty@|@Assi@
@elation@|@utsaah@
@election@|@chunaav@
@electric bulb@|@bijlee ka diyaa@
@electric pole@|@bijlee ka khambaa@
@electrical engineering@|@vidyut abhiyantrikrr@
@Electrical resistance@|@vidyut avarodh@
@electricity / electric@|@vidyut@
@electron@|@anoo@
@element@|@tattva@
@element(chemistry)@|@mool tattva@
@elevator@|@lift@
@eleven@|@Gyaraah@
@eleventh@|@Gyaarahvaa@
@elocution@|@vaktavya@
@emblem@|@chinh@
@embryo@|@garbhaa@
@eminent@|@sooprasidhh@
@emotional@|@bhavuk@
@emotions@|@bhaavanaaéin@
@emperor@|@samraat, sultan@
@empire@|@sultanat@
@empress@|@mallikaa@
@empty@|@khalee, riktt@
@enamel@|@mina@
@encroachment@|@ateekraman@
@encyclopaedia@|@dnyaankosh@
@end@|@anth@
@enemy@|@dushman, shatroo@
@energy@|@oorjaa@
@engagement@|@nikaah, sagayee@
@engine@|@injan@
@engineer@|@yantradnya@
@english@|@angrezee@
@enmity@|@shatrootvaa@
@enormous@|@prachand@
@enough@|@kaafee@
@enough!@|@bas!@
@entertaining@|@manoranjak@
@entertainment@|@manoranjan@
@enthusiasm@|@sphoortee, utsaah@
@entire@|@sampoorna@
@entry@|@pravesh@
@entry fee@|@pravesh shulk@
@envelope@|@lifafaa@
@envoy@|@rajdoot@
@envy@|@matsar@
@epicentre@|@bhookamp kendra@
@equal@|@baraabar, samaan@
@equation@|@sameekaran@
@equator@|@vishuvavritt@
@equatorial@|@vishuvavritteeya@
@essay@|@nibandh@
@establishment@|@prasthhapanaa@
@european@|@europeeya@
@evening@|@sandhya, Shaam@
@event@|@ghatanaa@
@evil spirit@|@buree aatmaa@
@exam@|@pareeksha@
@examinee@|@pariksharthi@
@examiner@|@parikshak@
@example@|@udaaharan@
@excellent@|@utkrishta@
@except@|@ke alaawaa@
@exercise(physical)@|@kasrat, vyayaam@
@exhibition@|@pradarrshan@
@existence@|@wajood@
@exit@|@nikaas@
@expectation@|@apekshaa@
@expense@|@kharchaa@
@experience@|@anoobhav@
@experienced@|@anoobhavee@
@explorer@|@khojee@
@explosion@|@dhamaakaa@
@export@|@niryaat@
@extra@|@atirikt@
@extra-marital@|@vivah-bahya@
@extraterrestrials@|@paragrahavasee@
@Eye@|@Aankh@
@eyebrow@|@bhouhain@
@eyelid@|@palak@
@eyes@|@nayan@
@Eyes@|@Aankhen@
@fable@|@loka kathaa@
@Face / mouth@|@Mooh, mukh@
@facilities@|@suvidhaéin@
@facility@|@suvidhaa, vyasthaa@
@faint@|@aspasht@
@fair(skin color)@|@goraa@
@fairy@|@paree@
@faith@|@shradhdhhaa, vishwaas@
@fake@|@jaalee, nakalee@
@false / lie@|@jhooth, mithya(sanskrit)@
@family@|@pariwaar@
@famine@|@akaal@
@famous@|@mashhahoor, prasidhh@
@fan@|@pankhaa@
@fan(of an artist)@|@chahétaa@
@far@|@door@
@fare@|@bhadaa@
@farmer@|@kisaan, krishee@
@fat(subcutaneous layer)@|@charbee@
@fate@|@naseeb@
@Father@|@Pitaaji@
@father in law@|@sasoor@
@fatigue@|@thakaan@
@fault@|@dosh, khataa@
@favor@|@meharbanee, upkaar@
@favorable@|@anookool@
@fear@|@darr@
@fearsome@|@daraawnaa@
@February@|@Farvaree@
@fee@|@shulk@
@fellow@|@bandaa@
@female@|@maadaa@
@fenugreek@|@Methi@
@fertile land@|@upajaoo zameen@
@fever@|@bukhaar@
@fiber@|@tantoo@
@fibrous@|@tantoomaya@
@fifteen@|@Pandraah@
@fifth@|@Paanchva@
@fifty@|@Pachaas@
@figure@|@aakriti@
@figures of speech@|@alankaar@
@final@|@antim@
@financial@|@aarthik@
@fine (as punishment)@|@jurrmaanaa@
@fine(monetary)@|@jurrmaanaa@
@finger@|@Unglee@
@fingers@|@Ungleeyaan@
@finish@|@samaapt@
@fire@|@aag, agni(sacred)@
@first@|@Pahlah@
@fish@|@machhi@
@five@|@Paanch@
@flame@|@jwaalaa@
@flat@|@samatal@
@flaw@|@kharaabee@
@flesh@|@maans@
@flood@|@baadh@
@flower@|@phool@
@flower pot@|@phooldaan@
@flute@|@baansuree@
@fly@|@makhhi@
@fly(n)@|@makhhi@
@flying saucer@|@udan tashtaree@
@fog@|@dhund@
@follower@|@anuyayee@
@food@|@Khana@
@footnote@|@tippanee@
@footware@|@chappal@
@force@|@bal@
@forecast@|@bhavishya@
@foreign@|@videsh@
@foreign(adj)@|@videshi@
@forest@|@jungle@
@forgery@|@jaalsaazee@
@fort@|@keela@
@fortnightly@|@paakshik@
@forty@|@Chalees@
@forward@|@aage@
@Four@|@Chaar ( ch as in chuck)@
@Fourteen@|@Choudaah@
@fourth@|@Choutah@
@fragile@|@nazook@
@fragrance@|@khushboo@
@freedom@|@aazaadi@
@french@|@franseesee@
@Friday@|@Shukrawaar@
@friend(m)@|@yaar@
@friend(male or female)@|@doast@
@friendship@|@dosti@
@from America@|@amreekaa se@
@from here@|@yahaan se@
@from India@|@bhaarat se@
@froth@|@jhaag@
@fruit@|@phal@
@fuel@|@indhan@
@full@|@bhara hua@
@fund@|@nidhee@
@future@|@bhavishya@
@future tense@|@bhavishya kaal@
@galaxy@|@dirghika@
@gambler@|@juaaree@
@game@|@khel@
@garage@|@garaaj@
@garbage@|@koodaa@
@garland@|@haar, maalaa@
@garlic@|@lehsan@
@gas@|@vaayoo@
@gate@|@phaatak@
@general@|@saamanya@
@general knowledge@|@saamanya gyaan@
@generator@|@janitra@
@genetic@|@anoovanshik@
@geographic@|@bhaugoalic@
@geography@|@bhugoal@
@geometry@|@bhumitee@
@get lost!@|@dafaa ho jaao!@
@get out of here!@|@yahaan sé chalé jaao!@
@get ready!@|@taiyyar ho jaao!@
@ghost@|@bhoot@
@giant(adj)@|@daanaveeya@
@giant(n)@|@raakshas@
@gift@|@nazraanaa, tohfaa@
@ginger@|@Adrak@
@girl@|@Ladki@
@gland@|@granthi@
@glass@|@kaanch@
@glass(for drinking)@|@pyaala@
@glove@|@dastaanaa@
@goat@|@bakree@
@god@|@allah, bhagwaan, ishwar, yeshu khrist@
@godown(warehouse)@|@godaam@
@gold@|@sona, swaran@
@good@|@acchha@
@goods@|@maal@
@Goods train@|@Maal gaadi@
@government@|@sarkaar@
@governor(of a state)@|@rajjyapaal@
@grade@|@darjaa@
@graduate@|@snaatak@
@grain@|@dhaan@
@grammar@|@vyaakran@
@grapes@|@Angoor@
@graph@|@aalekh@
@grass@|@ghaans, trina@
@Grass / dope@|@charas, gaanjaa etc.@
@gravitational pull@|@gurutvakarrshan@
@gravity@|@gurutva@
@greed@|@loabh@
@green@|@haraa@
@ground@|@zameen@
@group@|@dal, samooha@
@guava@|@Amrood@
@guerrilla war strategy@|@ganimee yudhh shailee@
@guest@|@atithee@
@gulf countries@|@aakhatee desh@
@gum@|@goand@
@gun@|@bandook@
@gun / rifle@|@bandook@
@gynecologist@|@stree roag tadnya@
@gynecology@|@stree roag chikitsaa@
@hair@|@Baal@
@hair comb@|@kanghee@
@half century@|@aadha shatak@
@hand@|@baanh@
@Hand@|@Haath@
@handkerchief@|@rumaal@
@hands@|@baahein@
@happiness@|@khushi@
@happy@|@khush@
@harassment@|@julm@
@hard(substance)@|@kathin, thos@
@hardwork@|@parishram@
@harsh@|@karaara@
@hate / dislike@|@nafrat@
@hatred / violence@|@hinsaa@
@haunted@|@bhutaila@
@He / She / They (fam)@|@woh@
@He / She / They (pol)@|@Weh@
@head@|@seer@
@health@|@sehat, tandurustee@
@healthy@|@sehatmand, tanduroost@
@heart@|@dil, hriday@
@heart disorder@|@hriday vikaar@
@heat@|@garmee@
@heaven@|@swarg@
@heavy@|@bhaari@
@height@|@oonchaee@
@hell@|@jahannum, nark@
@hen@|@murgee@
@hereditary@|@anoovanshik@
@hero@|@naayak@
@heroine@|@naayikaa@
@hidden treasure@|@gupt khazaanaa@
@hill@|@teela@
@hinderance@|@baadhaa@
@his / hers(fam)@|@uskaa@
@his / hers(pol.)@|@unkaa@
@historic@|@aitihasik@
@history@|@itihaas@
@hobby@|@shauk@
@hole@|@suraakh@
@hollow@|@khokhlaa@
@holy@|@pavitra@
@home@|@ghar@
@honest@|@imaandaar@
@honesty@|@imaan@
@honey@|@madhoo@
@honour@|@sammaan@
@hope@|@ummeed@
@horizon@|@kshiteej@
@horse@|@ghodaa@
@horse carriage@|@baggee@
@horse rider@|@ghudsawaar@
@horse riding@|@ghudsawaree@
@hospital@|@aspataal@
@Hospital / clinic@|@Davaa khaana@
@hostile@|@aakramak@
@hot@|@garam@
@hot(taste)@|@teekhaa@
@hour@|@ghantaa@
@house@|@makaan@
@how@|@Kaise@
@how are you(m/f)?@|@aap kaisé/kaisee hai?@
@how much does this thing cost?@|@iss cheez ki kyaa keemat hai?@
@how to get there?@|@wahaan kaise jaaye?@
@human@|@insaan, manushya@
@humanity@|@insaaniyat@
@humble@|@namra@
@humid@|@namm@
@humidity@|@ardrataa, namee@
@hundred@|@ek sau, Sau, shat (Sanskrit)@
@hunger@|@bhookh@
@hungry@|@bhookha@
@hunter@|@shikaree@
@husband@|@patee@
@hut@|@zhopdee@
@I@|@Maein@
@I am fine!@|@theek houn! (n nasal)@
@i have to do.@|@mujhé karnaa hai.@
@ice@|@barf@
@iceberg@|@himkhand@
@idea@|@kalpanaa@
@ideal@|@aadarsh@
@identity@|@pehchaan@
@idiot@|@kamakkl, naasamajh@
@if@|@agar@
@illegal@|@gair kanoonee@
@illness@|@beemaaree@
@image@|@chhabee@
@imaginary@|@kaalpanik@
@imagination@|@kalpanaa@
@immediate@|@fauran, turant@
@immortal@|@amar@
@import@|@ayaat@
@importance@|@mahattva@
@impossible@|@naamumkin@
@imprisonment@|@kaid@
@impulse@|@aaghaat@
@in which region?@|@kaunsé ilaaké mein?@
@incapable@|@nalaayak@
@income@|@amdanee, praptee, praptee@
@income tax@|@praaptee kar@
@incomparable@|@advitiya@
@increment@|@badhautee@
@independence@|@azaadee@
@independence day@|@swatantrata diwas@
@independent@|@aazaad, swavalambi@
@indeterminate@|@aanischit@
@index@|@anukramanika@
@Index finger@|@Tarjanee@
@India@|@bhaarat, Hindustaan@
@indian@|@bharateeya, hindustanee@
@Indian (of India)@|@hindustanee@
@industrial revolution@|@audyogik krantee@
@infant@|@bachchaa@
@infection@|@sansarg@
@infectious@|@sansargjanya@
@infertile@|@baanjh@
@infinity@|@anant@
@inflammable@|@jwaalaagrahi@
@information@|@jaankari@
@ingenuous@|@bholaa@
@inhuman@|@amanaveeya@
@initial@|@shuruatee@
@injustice@|@annyaaya@
@ink@|@siyahee@
@innocent@|@bholaa, kamsin, naadaan@
@innumerable@|@asankhyaa@
@insane@|@paagal@
@inside@|@andar@
@inspite of@|@ke baawajood@
@instalment@|@kisht@
@instant (time)@|@pal@
@instinctive@|@paidaayishee@
@instruction@|@suchanaa@
@insult@|@apamaan@
@intelligence@|@hoshiyaaree@
@intelligent@|@hoshiyaar@
@interest (bank)@|@byaaj@
@interesting@|@dilchasp@
@internal@|@aantrik@
@intestines@|@aantadeeyaan, aatein@
@inverted@|@ultaa(m), ultee(f)@
@investigation@|@jaanch@
@investment@|@nivesh@
@invincible@|@abhed@
@invisible@|@adrishya@
@island@|@dweep, sweep@
@It@|@Woh@
@it will cost you 20 rupees.@|@iske bees rupai dene padenge.@
@Jack fruit@|@Kathar@
@jail@|@kaaragriha@
@January@|@Janvaree@
@japanese@|@jaapaanee@
@jesus christ@|@yeshu khrist@
@jewel@|@alankaar, gehnaa@
@jewellery@|@gehanae@
@job@|@naukree@
@joints@|@joad@
@joke@|@kiss-saa@
@juice@|@ras@
@July@|@Julaee@
@June@|@Joon@
@jupiter@|@guroo@
@justice@|@nyaaya@
@key(to a house)@|@chaabee@
@kidnap@|@apaharan@
@kidney@|@gurdaa@
@kill@|@hatyaa@
@killer@|@hatyaaraa(m), hatyaaree(f), quateel@
@kind( action)@|@meharbaan@
@king@|@raajaa@
@kiss@|@pappi@
@kite@|@patang@
@knee@|@ghutnaa@
@knife@|@chakoo, chhuree@
@knowledge@|@gyaan, vidyaa@
@laborer@|@majdoor@
@ladder@|@seedhi (d as in day)@
@lake@|@jheel, talaab@
@language@|@bhaashaa@
@last(adj)@|@aakhree, antim@
@latrine@|@shauchaalaya@
@law@|@kaaida, kanoon@
@lawyer@|@vakeel@
@laziness@|@susti@
@lazy@|@sust@
@leader@|@agua, pudharee@
@leaf@|@patta@
@lecture@|@vyakhyaan@
@left (dirn.)@|@baayein@
@leg@|@Paaon@
@legal@|@kanoonee@
@legible@|@suvachchya@
@lemon@|@Nimboo@
@lemonade@|@nimboo ka sharbet@
@length@|@lambayee@
@leopard@|@tenduaa@
@liar@|@jhootha(m), jhoothi(f)@
@library@|@pustakalaya@
@license@|@parvaanaa@
@lid@|@dhakkan@
@lie (untrue)@|@jhoot@
@life@|@jaan, jeevan, zindagee@
@life insurance@|@jeevan beemaa@
@lifetime@|@aayoo@
@light@|@prakaash, roshnee, ujaalaa@
@light (weight)@|@halkaa@
@lighting(during festivals)@|@roshnayee@
@lightning stroke@|@bijlee ki kaundh@
@lightweight@|@halkaa@
@like@|@pasand@
@like(metaphor)@|@jaise@
@like(similie)@|@ke jaisaa@
@likes / interests@|@dilchaspee@
@lime(calcium carbonate)@|@choonaa@
@limit@|@marryadaa@
@line@|@rekhaa, resha@
@line(in text)@|@panktee@
@lion@|@sher@
@lips@|@hoanth@
@liquid / fluid@|@taral@
@liver@|@yakrit@
@lizard@|@chipkalee@
@load shedding@|@bhaar-niyaman@
@loan@|@hrin, rrin (stretch r)@
@local@|@sthanik@
@location@|@sthaan@
@lock(n)@|@taalaa@
@lone(m/f)@|@akélaa/akélee@
@lonely@|@tanahaa@
@lonely heart@|@tanahaa dil@
@long@|@lambaa(m), lambee(f)@
@longing@|@vyaakul@
@looks like we are lost.@|@lagtaa hai hum kho gaye hai.@
@loose@|@dheelaa@
@lord@|@prabhu, swami@
@lore@|@budhdhhi, vidya@
@loss@|@ghaataa, nuksaan, paraajay@
@lost@|@khoya huaa@
@lotus@|@kamal@
@lovable@|@pyaar karne yogya@
@love@|@ishq, mohabbat, prem, pyaar@
@lovely@|@manohar, pyaaraa, sundar@
@lover(f)@|@premika@
@lover(m)@|@premee@
@low@|@dheemaa, gareeb, neechaa@
@low-tide@|@bhaataa@
@loyal@|@aagyaakaari, raajbhakt, wafaadaar@
@loyalist@|@raajbhakt@
@loyalty@|@swamibhakti, wafaadaari@
@lubber@|@aalsee, kaamchor@
@lucid@|@suspashtt@
@luck@|@bhagya, saubhagya@
@luckily@|@bhagya se@
@lucky@|@bhagyawaan@
@lucrative@|@laabhkar@
@ludicrous@|@haasnsi ke yogya@
@lukewarm@|@gungunaa@
@lull@|@sannaataa@
@lullaby@|@loree@
@lumbar@|@kamar sambandhi@
@luminary@|@chamkeeli vastu@
@luminous@|@chamakdaar, chamkeelaa@
@lump@|@dher@
@lumpy@|@dheledaar@
@lunacy@|@baawlaapan, paagalpan@
@lunatic@|@paagal@
@lunch@|@dopahar ka khaanaa@
@lung@|@fefdaa@
@lungs@|@faifdein@
@luxurious@|@vilaasee@
@luxury@|@bhog vilaas@
@lymph@|@lasikaa@
@mace@|@gadaa@
@machination@|@bandish, chhal, daav, ghaat@
@machine@|@yantra@
@machinery@|@kalyantra@
@mad@|@paagal@
@mad(in love of sth/sb)@|@deewaanaa@
@madam(address)@|@mahodayaa@
@madcap@|@paagal, sanaki@
@magic@|@jaadoo@
@magician@|@jaadoogar@
@mail@|@chitthee, khat@
@maize@|@makki@
@majority@|@bahusankhya@
@make me some tea.@|@mere liye thodi chai banao.@
@male@|@nar@
@malediction@|@shraap@
@man@|@Mard, puroosh@
@mango@|@Aam@
@manhood@|@purushattva@
@manner / method@|@tareeka@
@mannerless@|@badtameez@
@manners@|@tameez@
@many@|@anek, bahut@
@map@|@nakshaa@
@marble@|@sangémarmar@
@March@|@March@
@market@|@bazaar@
@marriage@|@shaadee@
@married life@|@vaivahik jeevan@
@mars@|@mangal@
@Master (boy below teen age)@|@Kumaar@
@mat@|@chatayee@
@matchbox@|@diyasalayee@
@matchstick@|@teeli@
@mathematics@|@ganeet@
@matter(in physics)@|@padaarth@
@mature@|@paripakkva@
@maximum@|@adhiktam@
@May@|@Maee@
@meal@|@bhojan@
@meaning@|@aarth, matlab@
@mechanical@|@yantrikee@
@media@|@prasaar maadhhayam@
@medicinal@|@aushadheeya@
@medicine@|@davaa@
@mediocre@|@saamanya@
@mediocre / medium (size)@|@madhyam@
@meditation@|@dhyaan, saadhna@
@medium (physics)@|@jariyaa, maadhyam@
@meeting@|@baithak@
@melody@|@sur@
@melody / tune@|@dhun@
@member@|@sadasyaa@
@memento@|@prateek@
@memory@|@smritee@
@mercury(metal)@|@paaraa@
@metal@|@dhatoo@
@method@|@tarikaa@
@mile@|@meel@
@military@|@sainya, senaa@
@milk@|@Doodh@
@mind@|@mann@
@mine(ore)@|@khaan@
@minimum@|@nyoonatam@
@minister@|@mantree@
@ministry@|@mantralay@
@mint(currency related)@|@taksaal@
@mint(herb)@|@pudinaa@
@minute@|@minat@
@minute(time)@|@minat@
@miracle@|@chamatkaar@
@miraculous@|@adbhoot@
@mirage@|@mrigjal@
@mirror@|@aaeenaa@
@mirth@|@aanand@
@Miss@|@Kumaari@
@miss(salutation)@|@Kumaari@
@missile@|@kshepan aastraa@
@mistake@|@bhool, galatee@
@Mister@|@Shreemaan@
@misunderstanding@|@galatfehamee@
@mixture@|@mishran@
@mode@|@shailee@
@moist@|@namm@
@moisture@|@namee@
@moment@|@kshann, pal, pal@
@Monday@|@Somwaar@
@money@|@paise@
@monkey@|@bandarr@
@month@|@Mahina@
@monthly@|@masik@
@moon@|@chaand, chandra, chandra@
@mop@|@jhadoo@
@mope@|@udaas/sust manushya@
@moral@|@naitik@
@moral(n)@|@abhiprai, upadesh@
@morality@|@neeti, neetishaastra@
@morally@|@naitik roop se@
@morass@|@daldal, keechad@
@morbid@|@beemar saa, dooshit@
@more@|@adhik, jyaadaa@
@moreover@|@sivai iske@
@morning@|@bhor, prabhaat, saveraa, subah@
@morose@|@udaas@
@morsel@|@tukdaa@
@mortal@|@nashwar@
@mortality@|@maran-aadheentaa@
@mortar@|@choonaa@
@mortgage@|@girvi@
@mortuary@|@kabrasthaan, shmashaan@
@mositure@|@namee@
@mosque@|@masjid@
@mosquito@|@machchhar@
@moss@|@kaaee@
@mostly@|@adhiktar, aksar@
@moth@|@patangaa@
@mother@|@jananee@
@Mother@|@Maa, maataaji@
@mother in law@|@saans@
@motherhood@|@maatrittva, mattrubhaav@
@motion@|@gaman, gatee@
@motionless@|@achal, sthir@
@motive@|@pravarrtak, prerak@
@motive(n)@|@kaaran, nimitt, vajah@
@motley@|@bahurang@
@motor@|@sanchaalan yantra@
@motto@|@aadarsh vakkya@
@mould@|@saanchaa@
@mound@|@mitti kaa mend, pushtaa@
@mount@|@pahaad@
@mountain@|@pahaad, parbat, parvat@
@mountainous@|@pahaadi@
@mountaneous@|@pahadee@
@mourner@|@vilaapee@
@mournful@|@ranjeedaa@
@mourning@|@maatam, shok@
@mouse@|@choohaa@
@Moustache@|@Moochh@
@mouthful@|@mooh bhar@
@movable@|@chalansheel@
@move(n)@|@chaal, prastaav@
@movement@|@halchal, halchar, harkat@
@Mrs@|@Shreemati@
@much / more@|@zyaadaa@
@mud@|@keechad@
@murder@|@khoon, quatl@
@murky@|@dhundhlaa@
@museum@|@ajayabghar, vastu sangrahaalaya@
@music@|@sangeet@
@mustard@|@Sarsoo@
@My@|@meraa@
@mythological@|@pauraanik@
@nails@|@Nakhoon@
@naive@|@bholaa@
@naked@|@nagna, nangaa@
@Name@|@Naam@
@narrow / contracted@|@sikuda huaa, tang@
@national anthem@|@raashtrageet@
@natural@|@naisargik@
@nature@|@nisarg, shrishtee@
@navy@|@naudal@
@near@|@nazdeek, paas@
@nearby@|@nazdeek, paas@
@necessary@|@jarooree@
@necessity@|@jaroorat@
@needle@|@sooyee@
@neice@|@bhatijee@
@nephew@|@bhatijaa@
@nerve@|@nas@
@nest@|@ghoslaa@
@net(fishermen's)@|@jaalaa@
@new@|@nayaa(m), nayee(f)@
@news@|@samaachaar, vaarta@
@news reporter@|@vaartahar@
@newspaper@|@vaarta patra@
@night@|@nishaa, raat@
@nine@|@Naau@
@nineteen@|@Unnees@
@ninety@|@Nabbe@
