@dream@|@mak@
@dried snivel in nose@|@qanqa@
@drink@|@q'ach'an@
@drinking-horn@|@quru@
@dry@|@q'awq'un, qa-q-s:a@
@dry cough@|@qah@
@dry leaves of leguminous@|@buIchin@
@dry stalks as fuel@|@cinna@
@dumplings@|@hawk:u-ri@
@dung@|@qut@
@dung of sheep@|@š:ulü@
@dust@|@lax, x:it@
@eagle@|@barzu@
@ear@|@wich'i, wichi@
@ear of corn@|@chali@
@earth@|@aIrš:i, aIrš:i, duniäl, duniälm, duniälm, luxch:i@
@earthen roof@|@cija-lu@
@earthenware jug@|@k:up:i@
@earwig@|@wiliIqi@
@eat@|@=uka-, dukan, kanan@
@edge@|@k:ark@
@egg@|@k:unuk@
@eglantine@|@c:ac@
@eight@|@maIj-a@
@elative@|@-š:a, -š:a-l@
@empty@|@=ach=a-@
@end of loaf@|@qaInša@
@enough@|@ha-@
@entry@|@xulu@
@ergative@|@-l@
@ermine@|@t:arqa@
@establish@|@l-i=chi-n@
@even@|@-cha, -ka@
@ewe@|@t:a@
@eye@|@a', ia, ja@
@eye secretion@|@paIlcu@
@eyebrow@|@it:a-cani@
@face@|@lažin, niIta@
@faeces@|@uIt@
@fall apart@|@zi=zi-n@
@fallow@|@q:uruqu@
@fang@|@x:uti@
@far@|@arx-s:a@
@farm-hand@|@marku@
@farmstead@|@maš:i@
@fasten@|@=a=hi-n@
@fat@|@ha, mai, maj@
@father@|@p:u@
@feather@|@piulli, t'imu, timu@
@female@|@c:u-s:a@
@female sex@|@c:u-rik@
@field@|@qu@
@field mouse@|@uIku-lu@
@fine@|@bughi@
@finger@|@kis:a@
@fingernail@|@miq'@
@fire@|@c'u, cani, cu@
@fireplace@|@wilax@
@first cousin@|@s:uraqu@
@fish@|@chavaq', hawa@
@fist@|@za-k:ana@
@fitting@|@=uchi-s:a@
@five@|@x:uI=a@
@flap@|@max@
@flat earthenware vessel@|@q:Iachi@
@flea@|@chacha@
@fleece@|@huru@
@flesh@|@biši, dik'@
@flint@|@nuwcha@
@flour@|@ini-kma@
@flour dust@|@qit@
@flow@|@iIqi han@
@flower@|@tuti@
@fly@|@lex:an, liI=x:a-n, zimiz@
@foam@|@xama@
@food made of barley flour@|@aIrch:ap@
