@straight@|@ngun-du@
@summer@|@jua, zhuha@
@sunday@|@inengi@
@supported@|@tej-bew@
@swallow@|@sih-biar-xun@
@ten@|@juwa, zhuwa@
@thin@|@nen-ke-xun@
@thing@|@ha-che-jin@
@thirteen@|@gorhon@
@thirty@|@gushin@
@this@|@erse, ese@
@three@|@ilan, jilan@
@throat@|@mei-fen@
@tiger@|@tasha, tasxa@
@time@|@erin@
@to be@|@bie-fume, bie-i@
@to be inimical@|@bai-zhu-mij dï-@
@to be satiated@|@oh-pih-leh@
@to be spent@|@man-na-lar@
@to bow@|@keng-ke-le-mij@
@to breathe@|@erhen, erin-he@
@to bundle@|@fume@
@to burn@|@zheh-din-ku@
@to change@|@xu-la-gi@
@to check@|@tonzhu-lar@
@to come@|@di-hul, di-xexe-gi@
@to contain@|@hu-xun-mij am-si-da-lar@
@to delve with a stake@|@bo-@
@to die@|@bu-che-xie@
@to drink@|@umi-La@
@to eat@|@zhe-fu@
@to enter@|@i-re-@
@to fight@|@xiu-sun@
@to follow@|@an-dan-do@
@to follow along@|@fude-mij@
@to fulfil@|@mu-te-bulu@
@to give@|@tuju-xe@
@to go back@|@mi-ta-buje-@
@to go out@|@tuj-ti-mij@
@to hear@|@doldi-sun, doldi-u@
@to hide@|@so-mi-biar@
@to investigate@|@fanzhu-mij@
@to justify@|@uru-le-be@
@to kill@|@wa-du-lar@
@to know@|@c'ang-xi@
@to laugh@|@inzhe-@
@to lend@|@zhui-mu-sun-@
@to let slip@|@buru-wi-xie@
@to make@|@o-fia@
@to overcome@|@hete-xe@
@to plan@|@sabi-biar@
@to reach@|@isi-maj@
@to release@|@ting-da-mai@
@to say@|@xen-du-ru@
@to send on service@|@tah-xew-ra-xaj@
@to sit@|@teh-biar@
@to sleep@|@dedu-rie@
@to speak@|@xen-du-ru@
@to spin@|@to-ngo@
@to stand@|@ili-bung@
@to take@|@ga-gwa-i@
@to thank@|@bij-il-sia-maj@
@to the side@|@xe-bew@
@to trade@|@xu-da-sia-maj@
@to transmit@|@uli-@
@to turn back@|@muta-bun@
@to understand@|@deN-de-@
@to walk@|@ful-c'wi@
@to wish@|@buj-je-mij@
@tongue@|@hileng-ngu@
@tooth@|@juj-xe@
@tree@|@do-Go, mo, moo@
@troubled@|@fe-xi-lar@
@true@|@tong-do@
@twelve@|@jhirhon@
@twenty@|@horin, orin@
@two@|@juwe, zhuwe@
@unripe@|@hosu-xun, osu-xun@
@upper clothes@|@etu-xun@
@valuables@|@zha-xa@
@vegetable@|@sol-ngi@
@voice@|@dilga@
@walk@|@fuli, nge-ne-xie@
@wall@|@fa-dar-an@
@water@|@mo, mu@
@weak@|@ni-ta-ba, ol-Gu-hun@
@well@|@xuc'i@
@West@|@fu-ri-si@
@wind@|@edu, hedu-un@
@window@|@fah-ha@
@wine@|@niu-re@
